店舗id,店舗名,商品コード,商品名 ,税率 ,賞味期限 ,容量 ,原単価 ,売単価 ,在庫数,原価金額,売価金額 
"2","新百合山手通り店","0000045019517","ﾎﾟｶﾘｽｴｯﾄﾍﾟｯﾄ","8.00","","500ML","105.00","129.00","3.00","315.0000","387.0000"
"2","新百合山手通り店","0000045144653","ソルマック　サキノミ","10.00","","ｿﾙﾏｯｸ ｻｷﾉﾐ","228.00","350.00","3.00","684.0000","1050.0000"
"2","新百合山手通り店","0000049243710","イブＡジヨウ","10.00","","48T","489.00","300.00","1.00","489.0000","300.0000"
"2","新百合山手通り店","0000049252088","ドルマイシン　ナンコウ","10.00","","12G","350.00","834.00","1.00","350.0000","834.0000"
"2","新百合山手通り店","0000049254334","ｲﾁｼﾞｸ ｶﾝﾁﾖｳ","10.00","","30GX2","150.00","231.00","2.00","300.0000","462.0000"
"2","新百合山手通り店","0000049355161","ｷﾚｲｷﾚｲﾊﾝﾄﾞｼﾞｪﾙ","10.00","","ｷﾚｲｷﾚｲﾊﾝﾄﾞｼﾞｪﾙ","250.00","398.00","-1.00","-250.0000","-398.0000"
"2","新百合山手通り店","0000049608847","ﾃﾋﾟｶｼﾞｪﾙ","10.00","","60ML","290.00","498.00","3.00","870.0000","1494.0000"
"2","新百合山手通り店","0000049721546","ＭＢカップ　ストロベリー","8.00","","MBｶｯﾌﾟ ｽﾄﾛﾍﾞﾘｰ","161.00","245.00","2.00","322.0000","490.0000"
"2","新百合山手通り店","0000049721737","ＭＢＭＩＮＩカップ　バナナ","8.00","","MBMINIｶｯﾌﾟ ﾊﾞﾅﾅ","161.00","245.00","2.00","322.0000","490.0000"
"2","新百合山手通り店","0000049722505","ＭＢＭカップミックスベリー","8.00","","MBMｶｯﾌﾟﾐｯｸｽﾍﾞﾘｰ","171.00","245.00","1.00","171.0000","245.0000"
"2","新百合山手通り店","0000049779011","ﾛｯﾃﾄｰﾏｽﾁｭｰｲﾝｸﾞｷｬﾝﾃﾞｨ","8.00","","ﾛｯﾃﾄｰﾏｽﾁｭｰｲﾝｸﾞｷｬﾝﾃﾞｨ","35.00","50.00","-3.00","-105.0000","-150.0000"
"2","新百合山手通り店","0705928003088","ｻｱｲﾅｽﾘﾝｽﾎﾞﾄﾙ+10ﾎｳ","10.00","","ｻｱｲﾅｽﾘﾝｽﾎﾞﾄﾙ+10ﾎｳ","800.00","1100.00","-1.00","-800.0000","-1100.0000"
"2","新百合山手通り店","0705928052611","ｻｲﾅｽﾘﾝｽﾘﾌｪﾙ60ﾎｳ","10.00","","ｻｲﾅｽﾘﾝｽﾘﾌｪﾙ60ﾎｳ","1600.00","2200.00","-1.00","-1600.0000","-2200.0000"
"2","新百合山手通り店","4511413404126","マルチビタミン６０ニチ","10.00","","60ﾆﾁ","420.00","660.00","2.00","840.0000","1320.0000"
"2","新百合山手通り店","4523062001014","ｻﾝﾎﾜｲﾄP-1","10.00","","ｻﾝﾎﾜｲﾄP-1","709.00","1100.00","-1.00","-709.0000","-1100.0000"
"2","新百合山手通り店","4525678092462","Agｳｴｯﾄﾃｨｯｼｭｱﾙｺｰﾙ","10.00","","Agｳｴｯﾄﾃｨｯｼｭｱﾙｺｰﾙ","80.00","130.00","-1.00","-80.0000","-130.0000"
"2","新百合山手通り店","4526017081130","ｴｺﾊﾞｯｸﾋﾟｻﾞ","10.00","","ｴｺﾊﾞｯｸﾋﾟｻﾞ","675.00","300.00","-2.00","-1350.0000","-600.0000"
"2","新百合山手通り店","4526017081192","ﾋﾄﾂﾌﾞｴｺﾊﾞｯｸﾞPK","10.00","","ﾋﾄﾂﾌﾞｴｺﾊﾞｯｸﾞPK","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017081208","ﾋﾄﾂﾌﾞｴｺﾊﾞｯｸﾞBL","10.00","","ﾋﾄﾂﾌﾞｴｺﾊﾞｯｸﾞBL","360.00","800.00","1.00","360.0000","800.0000"
