仕入日,店舗,仕入先コード,仕入先,部門コード,部門,商品コード,商品,税率,仕入数量,仕入単価,仕入金額,売単価,売価金額,粗利金額,粗利率
"2022/06/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710261899","ESPｱｲﾌﾞﾛｳﾏｽｶﾗV031","10.00","1.00","840.00","840","1320","1320","480","36.36"
"2022/06/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710456851","SEMｱﾛﾏｴｯｾﾝｼｬﾙｵｲﾙ","10.00","1.00","3465.00","3465","6050","6050","2585","42.73"
"2022/06/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710460100","PDﾘﾍﾟｱﾊﾟﾃ30 ｇ","10.00","1.00","2835.00","2835","4950","4950","2115","42.73"
"2022/06/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710460858","SPMﾐﾈﾗﾙﾛｰｼｮﾝW2R","10.00","1.00","3591.00","3591","6270","6270","2679","42.73"
"2022/06/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710460896","SPMﾓｲｽﾁｭｱﾗｲｻﾞｰW2R","10.00","1.00","3906.00","3906","6820","6820","2914","42.73"
"2022/06/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710461329","SPMﾊﾞﾝﾃｰｼﾞｸﾘｰﾑ","10.00","1.00","6300.00","6300","11000","11000","4700","42.73"
"2022/06/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710461473","PDS  　  CCｸﾘｰﾑ  ＃  001","10.00","2.00","1512.00","3024","2640","5280","2256","42.73"
"2022/06/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710461480","PDS  　  CCｸﾘｰﾑ  ＃  002","10.00","1.00","1512.00","1512","2640","2640","1128","42.73"
"2022/06/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710487015","PD ﾌｧﾝｺﾞｼｬﾝﾌﾟｰ(  詰替え用  )","10.00","3.00","945.00","2835","1650","4950","2115","42.73"
"2022/06/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710487039","PD ﾌｧﾝｺﾞﾍｱﾏｽｸN(付替え用)","10.00","1.00","1764.00","1764","3080","3080","1316","42.73"
