部門コード,部門名,分類コード,分類名,店舗,売上数量,売上金額,粗利金額,粗利率
"01","パルタックKS","","","OPA店","11","7534","2415","32.05"
"02","エスエス製薬","","","OPA店","137","125320","33857","27.02"
"03","大正製薬","","","OPA店","266","223311","54012","24.19"
"04","全薬工業（株）","","","OPA店","32","110868","25159","22.69"
"05","佐藤製薬","","","OPA店","46","46024","14838","32.24"
"06","興和（株）","","","OPA店","64","68074","15767","23.16"
"09","エバースJ","","","OPA店","10","21153","8863","41.9"
"10","東京ｴｰﾜﾝ","","","OPA店","374","293699","80677","27.47"
"11","クラシエ薬品","","","OPA店","18","25083","7047","28.09"
"12","本部丸昭ミズキ","","","OPA店","557","843722","174141","20.64"
"13","ウエルネスJ","","","OPA店","199","170904","42193","24.69"
"14","アアム","","","OPA店","55","56095","13064","23.29"
"15","オリヒロ","","","OPA店","48","27553","7404","26.87"
"18","ﾑｻｼﾉ","","","OPA店","3","3966","1126","28.39"
"19","八神商事","","","OPA店","287","151517","37730","24.9"
"20","白十字","","","OPA店","966","584483","185319","31.71"
"21","中庄（株）","","","OPA店","14","8139","2057","25.27"
"23","西川商店","","","OPA店","953","497875","108105","21.71"
"24","ｵｵｷ","","","OPA店","1128","818383","176788","21.6"
"30","美商","","","OPA店","220","217562","50038","23"
"32","井田両国堂","","","OPA店","282","187211","40391","21.58"
"33","資生堂化粧品","","","OPA店","76","54328","10139","18.66"
"34","資生堂BQ","","","OPA店","340","1509137","497100","32.94"
"35","資生堂CPB","","","OPA店","71","667186","201259","30.17"
"36","フィティット","","","OPA店","151","161655","23165","14.33"
"37","資DPEMNAQRKI","","","OPA店","45","115279","36445","31.61"
"38","資生堂EIS　MQ","","","OPA店","164","414392","82795","19.98"
"39","資生堂バラ園　PFA","","","OPA店","8","12532","2265","18.07"
"41","カネボウSUI","","","OPA店","3","3466","812","23.43"
"42","KA　コスメット","","","OPA店","64","64569","3833","5.94"
"43","カネボウTW","","","OPA店","102","471764","148374","31.45"
"44","カネボウJSLG","","","OPA店","56","199781","89294","44.7"
"45","KA CD","","","OPA店","30","46055","12408","26.94"
"46","KA F1","","","OPA店","3","3377","494","14.63"
"47","KTNPP","","","OPA店","49","49156","11404","23.2"
"48","ソフィーナ化粧品","","","OPA店","1","2464","280","11.36"
"49","ソGRスキンボーテ","","","OPA店","20","68255","20545","30.1"
"50","レジ袋","","","OPA店","174","550","72","13.09"
"52","調剤売上OPA","","","OPA店","494","5050528","0","0"
"55","マリアンナ化粧品","","","OPA店","22","74930","22660","30.24"
"56","ゼリア","","","OPA店","66","120053","48641","40.52"
"57","イワキ","","","OPA店","999","914804","211032","23.07"
"59","JPS","","","OPA店","155","264426","110829","41.91"
"77","EVNPP","","","OPA店","18","26470","3064","11.58"
"78","KALGヴォーニュ","","","OPA店","17","37822","16984","44.91"
"79","KAﾘｸｲｰﾙ","","","OPA店","20","49060","17840","36.36"
"85","資生堂　健食","","","OPA店","1","184","54","29.35"