No,店舗,部門名,商品コード,商品名,数量,売単価,原単価,売上金額,粗利金額,構成比,累積比,粗利率
"1","406 コスメイシイ","資生堂化粧品","4514254955215","CPB ﾙ･ｾﾗﾑ(ﾚﾌｨﾙ)","6","26950","15435.00","147000","28910","2.72%","2.72%","19.67%"
"2","406 コスメイシイ","資生堂化粧品","4514254955208","CPB ﾙ･ｾﾗﾑ","25","27500","15750.00","625000","26000","11.55%","14.27%","4.16%"
"3","406 コスメイシイ","資生堂化粧品","4901872952441","BQ ﾊﾞｳﾝｽｼﾞｰﾆｱｽ ﾚﾌｨﾙ","8","11000","6300.00","80000","24600","1.48%","15.75%","30.75%"
"4","406 コスメイシイ","資生堂化粧品","4514254134603","CPB ﾙ･ｾﾗﾑｾｯﾄ(ﾚ)2022","3","26950","15435.00","73500","23520","1.36%","17.11%","32.00%"
"5","406 コスメイシイ","資生堂化粧品","4909978128470","BQｸﾘｱUVｴｯｾﾝｽ","21","3850","2205.00","73500","19145","1.36%","18.47%","26.05%"
"6","406 コスメイシイ","資生堂化粧品","4514254113264","CPBｾﾗﾑｴｸﾗS","8","35200","20160.00","256000","16960","4.73%","23.20%","6.63%"
"7","406 コスメイシイ","資生堂化粧品","4909978128456","BQ ﾎﾘｽﾃｨｯｸﾎﾜｲﾄ(ﾚ)","5","10450","5985.00","47500","12825","0.88%","24.08%","27.00%"
"8","406 コスメイシイ","資生堂化粧品","4909978128449","BQ ﾎﾘｽﾃｨｯｸﾎﾜｲﾄ(ﾎﾝﾀｲ)","4","11000","6300.00","40000","12800","0.74%","24.82%","32.00%"
"9","406 コスメイシイ","資生堂化粧品","4514254973240","CPB ｸﾚｰﾑVﾐｻﾞﾝﾄS","1","40150","22995.00","36500","11680","0.67%","25.49%","32.00%"
"10","406 コスメイシイ","資生堂化粧品","4909978110932","BQ ｸﾘｱﾛｰｼｮﾝ2(R)","12","4180","2394.00","45600","11362","0.84%","26.33%","24.92%"
"1","268　松本店","湧永製品","4968250260123","レオピンロイヤル　１２０ｍｌ","12","17600","8095.00","188000","86460","10.44%","10.44%","45.99%"
"2","268　松本店","湧永製品","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","7","21340","9348.00","135800","70364","7.54%","17.98%","51.81%"
"3","268　松本店","湧永製品","4968250260130","レオピンロイヤル　２４０ｍｌ","6","30800","14166.00","155000","70004","8.60%","26.58%","45.16%"
"4","268　松本店","湧永製品","4968250275318","キヨーレオピン　２４０ｍｌ","10","10670","4673.00","97000","50270","5.38%","31.96%","51.82%"
"5","268　松本店","湧永製品","4968250260116","レオピンロイヤル　６０ｍｌ","8","9680","4452.00","70400","34784","3.91%","35.87%","49.41%"
"6","268　松本店","湧永製品","4968250867117","プレビジョン　カルマジン　８００粒","14","4104","1254.00","48600","32394","2.70%","38.57%","66.65%"
"7","268　松本店","湧永製品","4968250266316","キヨーレオピンＮＥＯ　２４０ｍｌ","7","10670","4673.00","63200","30489","3.51%","42.08%","48.24%"
"8","268　松本店","湧永製品","4968250266217","キヨーレオピンＮＥＯ　１２０ｍｌ","10","6050","2650.00","52400","25845","2.91%","44.99%","49.32%"
"9","268　松本店","ＯＴＣ医薬品類","4968250840417","人参牛黄カプセル　８０カプセル","3","41800","27612.00","114000","23164","6.33%","51.32%","20.32%"
"10","268　松本店","湧永製品","4968250358110","湧永田七　分包　６０包","3","10260","3233.00","28500","18801","1.58%","52.90%","65.97%"
"1","540　さなだ店","その他商品","4515748001760","エミュークリーム","13","6600","3000.00","78000","31800","21.12%","21.12%","40.77%"
"2","540　さなだ店","湧永製品","4968250266316","キヨーレオピンＮＥＯ　２４０ｍｌ","4","10670","4673.00","38800","14288","10.51%","31.63%","36.82%"
"3","540　さなだ店","食品","4968250294111","ﾗｸｯｼｮﾝ ﾌﾟﾗｽ","3","6264","3030.00","17400","4830","4.71%","36.34%","27.76%"
"4","540　さなだ店","ＯＴＣ医薬品類","4956621011122","松寿仙　  170  ｍｌ×  3","2","6127","3342.00","11140","4456","3.02%","39.36%","40.00%"
"5","540　さなだ店","カネボウ化粧品","4973167025376","LIｽｷﾒﾝEX M4 ﾚﾌｨﾙ","2","6050","2750.00","11000","4359","2.98%","42.34%","39.63%"
"6","540　さなだ店","湧永製品","4968250260116","レオピンロイヤル　６０ｍｌ","1","9680","4452.00","8800","3748","2.38%","44.72%","42.59%"
"7","540　さなだ店","食品","4987596202017","ｸﾛﾚﾗ 　グロスミン　１０００粒","1","9936","5520.00","9200","2892","2.49%","47.21%","31.43%"
"8","540　さなだ店","カネボウ化粧品","4973167026052","LIｽｷﾒﾝST M3 ﾚﾌｨﾙ","2","3520","1600.00","6400","2628","1.73%","48.94%","41.06%"
"9","540　さなだ店","カネボウ化粧品","4973167299654","LIiｸﾚﾝｼﾞﾝｸﾞｿｰﾌﾟR","3","2530","1150.00","6900","2585","1.87%","50.81%","37.46%"
"10","540　さなだ店","カネボウ化粧品","4973167025550","LIｽｷﾒﾝEX W2 ﾚﾌｨﾙ","1","6600","3000.00","6000","2389","1.62%","52.43%","39.82%"
"1","554　愛国東店","湧永製品","4968250260130","レオピンロイヤル　２４０ｍｌ","11","30800","14166.00","308000","145211","9.38%","9.38%","47.15%"
"2","554　愛国東店","湧永製品","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","11","21340","9348.00","213400","104867","6.50%","15.88%","49.14%"
"3","554　愛国東店","湧永製品","4968250266316","キヨーレオピンＮＥＯ　２４０ｍｌ","12","10670","4673.00","116400","58324","3.54%","19.42%","50.11%"
"4","554　愛国東店","湧永製品","4968250294111","プレビジョン　ﾗｸｯｼｮﾝ　270錠","13","6264","1709.00","75400","51493","2.30%","21.72%","68.29%"
"5","554　愛国東店","湧永製品","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","9","12100","5300.00","99000","48500","3.01%","24.73%","48.99%"
"6","554　愛国東店","湧永製品","4968250840417","人参牛黄カプセル　８０カプセル","2","44000","16985.00","80000","45971","2.44%","27.17%","57.46%"
"7","554　愛国東店","湧永製品","4968250266217","キヨーレオピンＮＥＯ　１２０ｍｌ","16","6050","2650.00","88000","45506","2.68%","29.85%","51.71%"
"8","554　愛国東店","ＯＴＣ医薬品類","4954177100406","ｻｻﾍﾙｽ 　１２７ｍｌｘ６","10","10230","4650.00","93000","44022","2.83%","32.68%","47.34%"
"9","554　愛国東店","食品","4987596250032","ｸﾛﾚﾗ 　バイオリンク 2000","7","17820","9075.00","115500","41974","3.52%","36.20%","36.34%"
"10","554　愛国東店","湧永製品","4968250867117","プレビジョン　カルマジン　８００粒","15","4104","1119.00","57000","38312","1.74%","37.94%","67.21%"
"1","552　住之江店","湧永製品","4968250266316","キヨーレオピンＮＥＯ　２４０ｍｌ","32","10670","4673.00","310400","156424","6.04%","6.04%","50.39%"
"2","552　住之江店","湧永製品","4968250260130","レオピンロイヤル　２４０ｍｌ","12","30800","14166.00","330400","125482","6.43%","12.47%","37.98%"
"3","552　住之江店","湧永製品","4968250266217","キヨーレオピンＮＥＯ　１２０ｍｌ","43","6050","2650.00","236500","120400","4.60%","17.07%","50.91%"
"4","552　住之江店","湧永製品","4968250260123","レオピンロイヤル　１２０ｍｌ","14","17600","8095.00","224000","110370","4.36%","21.43%","49.27%"
"5","552　住之江店","湧永製品","4968250867117","プレビジョン　カルマジン　８００粒","41","4104","1119.00","155040","104267","3.02%","24.45%","67.25%"
"6","552　住之江店","湧永製品","4968250294111","プレビジョン　ラクッションプラス　２７０粒","20","6264","1709.00","116000","81370","2.26%","26.71%","70.15%"
"7","552　住之江店","湧永製品","4968250260116","レオピンロイヤル　６０ｍｌ","17","9680","4452.00","149600","73766","2.91%","29.62%","49.31%"
"8","552　住之江店","湧永製品","4968250266118","キヨーレオピンＮＥＯ　６０ｍｌ","47","3300","1445.00","141000","70585","2.74%","32.36%","50.06%"
"9","552　住之江店","食品","4987596255563","ヤクケン　バイオリンクＢＣＥｘ５０３　３０ｍｌ×３","14","9720","4537.00","126000","62282","2.45%","34.81%","49.43%"
"10","552　住之江店","湧永製品","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","10","12100","5300.00","110000","55950","2.14%","36.95%","50.86%"
"1","601　上市店","ＯＴＣ医薬品類","4987926002324","ﾙﾐﾝA１００γ１２０錠","4","9219","5225.00","32800","11900","10.61%","10.61%","36.28%"
"2","601　上市店","ＯＴＣ医薬品類","4987926029376","ｺﾝｸﾚﾊﾞﾝ５００ｍｌ×３本","3","8580","4290.00","20319","7449","6.57%","17.18%","36.66%"
"3","601　上市店","ＯＴＣ医薬品類","4987926028201","コンクレバンゴールド　  30  ｍｌ×  10","5","4730","3025.00","21500","6375","6.95%","24.13%","29.65%"
"4","601　上市店","ＯＴＣ医薬品類","4954097716503","広貫堂　葛根湯エキス顆粒Ａ　１０包","10","767","224.00","6980","4740","2.26%","26.39%","67.91%"
"5","601　上市店","ＯＴＣ医薬品類","4987399845039","リンナー３０００５０本","8","2728","1900.00","19840","4640","6.42%","32.81%","23.39%"
"6","601　上市店","ＯＴＣ医薬品類","4515351100843","キョクトウ熊胆円８４個","2","4125","2050.00","7500","3400","2.43%","35.24%","45.33%"
"7","601　上市店","ＯＴＣ医薬品類","4987086532983","ｸﾞﾙﾃｽﾄNEOｾﾝｻｰ  　  ｱﾙﾐﾊﾟｯｸ","3","4620","3147.00","12600","3159","4.07%","39.31%","25.07%"
"8","601　上市店","湧永製品","4968250271112","レオピンファイブＮＥＯ　６０ｍｌ","1","6600","2891.00","6000","3109","1.94%","41.25%","51.82%"
"9","601　上市店","その他商品","4987926036831","ﾗｸｽﾃｯﾌﾟG３００粒","1","6680","3190.00","6186","2996","2.00%","43.25%","48.43%"
"10","601　上市店","食品","4987035576419","オーエスワン　５００ｍｌ","80","192","143.00","14240","2800","4.60%","47.85%","19.66%"
"1","631　パスコ店","湧永製品","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","12","12100","5300.00","132000","65597","2.16%","2.16%","49.69%"
"2","631　パスコ店","湧永製品","4968250260116","レオピンロイヤル　６０ｍｌ","11","9680","4823.00","96800","42350","1.58%","3.74%","43.75%"
"3","631　パスコ店","湧永製品","4968250300119","宝脚　３００錠","8","8424","2500.00","62400","42265","1.02%","4.76%","67.73%"
"4","631　パスコ店","湧永製品","4968250854124","プレビジョングリーン末　９０包","13","5184","1401.00","59141","40385","0.97%","5.73%","68.29%"
"5","631　パスコ店","湧永製品","4968250271112","レオピンファイブＮＥＯ　６０ｍｌ","13","6600","2891.00","78000","39922","1.27%","7.00%","51.18%"
"6","631　パスコ店","化粧品","4571432380016","エバァーチェンジングトナー　１５０ｍｌ","20","4180","1741.67","76000","39194","1.24%","8.24%","51.57%"
"7","631　パスコ店","ＯＴＣ医薬品類","4987103049371","コンドロイチンＺＳ　４５０錠","7","13200","6000.00","84000","37100","1.37%","9.61%","44.17%"
"8","631　パスコ店","日用雑貨","4580743145382","抗原+抗体検査一体型検査ペン","47","1298","315.07","55460","36799","0.91%","10.52%","66.35%"
"9","631　パスコ店","ＯＴＣ医薬品類","4987433120054","プラセントップ液３０ｍｌ","80","1018","310.00","59185","34200","0.97%","11.49%","57.78%"
"10","631　パスコ店","ＯＴＣ医薬品類","4954097858975","ﾗ-ﾊﾞｴ-ｽ　D3000","41","4048","2000.00","114720","31624","1.87%","13.36%","27.57%"
"1","634　プラファ店","ＯＴＣ医薬品類","4987433120054","プラセントップ液３０ｍｌ","147","1018","310.00","135537","79063","3.63%","3.63%","58.33%"
"2","634　プラファ店","湧永製品","4968250280329","レオピンファイブキャプレットＳ　２００錠","9","14300","5213.00","117000","62451","3.13%","6.76%","53.38%"
"3","634　プラファ店","湧永製品","4968250854124","プレビジョングリーン末　９０包","21","5184","1401.00","94282","60061","2.52%","9.28%","63.70%"
"4","634　プラファ店","湧永製品","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","9","12100","5300.00","99000","51300","2.65%","11.93%","51.82%"
"5","634　プラファ店","湧永製品","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","6","21340","9348.00","116400","49306","3.12%","15.05%","42.36%"
"6","634　プラファ店","湧永製品","4968250271112","レオピンファイブＮＥＯ　６０ｍｌ","16","6600","2891.00","96000","48844","2.57%","17.62%","50.88%"
"7","634　プラファ店","ＯＴＣ医薬品類","4987103049371","コンドロイチンＺＳ　４５０錠","9","13200","6000.00","102600","48600","2.75%","20.37%","47.37%"
"8","634　プラファ店","湧永製品","4968250260130","レオピンロイヤル　２４０ｍｌ","4","30800","15347.00","100881","39493","2.70%","23.07%","39.15%"
"9","634　プラファ店","湧永製品","4968250260116","レオピンロイヤル　６０ｍｌ","8","9680","4823.00","70400","31816","1.89%","24.96%","45.19%"
"10","634　プラファ店","湧永製品","4968250260123","レオピンロイヤル　１２０ｍｌ","4","17600","8770.00","64000","30945","1.71%","26.67%","48.35%"
"1","636　砺波店","湧永製品","4968250260130","レオピンロイヤル　２４０ｍｌ","19","30800","15347.00","420810","129217","13.31%","13.31%","30.71%"
"2","636　砺波店","湧永製品","4968250177216","トコベール３００Ｅ　２６０ｃｐ","9","13670","2897.00","93368","66100","2.95%","16.26%","70.80%"
"3","636　砺波店","湧永製品","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","10","21340","9348.00","157528","63548","4.98%","21.24%","40.34%"
"4","636　砺波店","湧永製品","4968250266316","キヨーレオピンＮＥＯ　２４０ｍｌ","14","10670","4673.00","120184","50319","3.80%","25.04%","41.87%"
"5","636　砺波店","湧永製品","4968250199317","エナックＷ　５４０錠","6","10679","3091.00","58254","37047","1.84%","26.88%","63.60%"
"6","636　砺波店","湧永製品","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","6","12100","5300.00","66000","34034","2.09%","28.97%","51.57%"
"7","636　砺波店","湧永製品","4968250858115","ビルベリー＆ＤＨＡ　１２０粒","14","6264","1692.00","73322","33367","2.32%","31.29%","45.51%"
