店舗名,部門名,項目,内訳,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,半年計,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,通年計
"406 コスメイシイ","食品","売上","当月","10,190","2,095","4,295","7,190","8,485","0","32,255","0","0","0","0","0","0","32,255"
"","","","前年","4,652","4,948","2,488","5,474","2,474","3,677","23,713","6,583","5,095","5,095","2,095","3,000","2,095","47,676"
"","","","前年比","219","42","173","131","343","0","136","0","0","0","0","0","0","68"
"","","粗利","当月","2,570","190","890","1,475","1,270","0","6,395","0","0","0","0","0","0","6,395"
"","","","前年","1,657","1,363","713","1,389","294","1,317","6,733","688","1,285","1,285","190","1,095","190","11,466"
"","","","前年比","155","14","125","106","432","0","95","0","0","0","0","0","0","56"
"","","客数","当月","4","1","2","3","3","0","13","0","0","0","0","0","0","13"
"","","","前年","5","3","2","3","2","3","18","5","2","2","1","1","1","30"
"","","","前年比","80","33","100","100","150","0","72","0","0","0","0","0","0","43"
"","日用雑貨","売上","当月","816","64,000","41,016","101,400","0","2,904","210,136","6,608","0","0","0","0","0","216,744"
"","","","前年","0","0","0","0","0","0","0","207,306","21,819","0","30,000","0","0","259,125"
"","","","前年比","0","0","0","0","0","0","0","3","0","0","0","0","0","84"
"","","粗利","当月","72","12,000","23,069","27,599","0","264","63,004","584","0","0","0","0","0","63,588"
"","","","前年","0","0","0","0","0","0","0","35,462","4,092","0","7,091","0","0","46,645"
"","","","前年比","0","0","0","0","0","0","0","2","0","0","0","0","0","136"
"","","客数","当月","1","4","3","11","0","1","20","3","0","0","0","0","0","23"
"","","","前年","0","0","0","0","0","0","0","10","1","0","1","0","0","12"
"","","","前年比","0","0","0","0","0","0","0","30","0","0","0","0","0","192"
"","化粧品","売上","当月","1,400","18,354","0","23,758","13,157","8,257","64,926","6,200","0","0","0","0","0","71,126"
"","","","前年","11,816","2,800","6,941","12,737","10,923","14,558","59,775","11,456","11,673","133,733","-5,350","18,856","23,163","253,306"
"","","","前年比","12","656","0","187","120","57","109","54","0","0","0","0","0","28"
"","","粗利","当月","480","6,584","0","8,987","6,115","5,458","27,624","457","0","0","0","0","0","28,081"
"","","","前年","5,072","57","3,400","5,255","3,716","5,276","22,776","4,172","3,444","51,551","907","7,571","7,190","97,611"
"","","","前年比","9","11,551","0","171","165","103","121","11","0","0","0","0","0","29"
"","","客数","当月","2","4","0","8","6","5","25","5","0","0","0","0","0","30"
"","","","前年","4","1","2","4","5","4","20","4","3","10","1","7","8","53"
"","","","前年比","50","400","0","200","120","125","125","125","0","0","0","0","0","57"
"","その他商品","売上","当月","13,340","5,000","15,900","21,340","9,900","4,600","70,080","11,800","0","0","0","0","0","81,880"
"","","","前年","16,200","5,000","17,640","5,000","8,700","10,440","62,980","17,000","2,600","7,200","10,440","7,750","3,700","111,670"
"","","","前年比","82","100","90","427","114","44","111","69","0","0","0","0","0","73"
"","","粗利","当月","5,077","4,996","5,397","6,077","6,395","4,596","32,538","3,258","0","0","0","0","0","35,796"
"","","","前年","4,298","2,898","4,478","2,898","2,398","3,578","20,548","4,398","2,598","7,194","5,676","4,596","3,697","48,707"
"","","","前年比","118","172","121","210","267","128","158","74","0","0","0","0","0","73"
"","","客数","当月","4","3","5","7","5","4","28","5","0","0","0","0","0","33"
"","","","前年","4","3","5","3","4","4","23","4","2","4","4","3","2","42"
"","","","前年比","100","100","100","233","125","100","122","125","0","0","0","0","0","79"
"","資生堂化粧品","売上","当月","2,052,678","2,435,379","3,122,673","2,803,070","2,863,084","3,677,557","16,954,441","1,518,808","0","0","0","0","0","18,473,249"
"","","","前年","2,622,251","2,280,907","3,004,785","2,779,440","2,521,401","2,811,090","16,019,874","2,724,568","2,327,493","4,625,028","2,673,481","2,722,005","3,045,111","34,137,560"
"","","","前年比","78","107","104","101","114","131","106","56","0","0","0","0","0","54"
"","","粗利","当月","301,644","466,893","659,704","464,843","459,257","653,413","3,005,754","220,585","0","0","0","0","0","3,226,339"
"","","","前年","457,521","384,698","604,909","482,079","517,794","525,210","2,972,211","521,638","461,953","730,916","516,002","525,264","559,823","6,287,807"
"","","","前年比","66","121","109","96","89","124","101","42","0","0","0","0","0","51"
"","","客数","当月","116","151","189","149","140","195","940","103","0","0","0","0","0","1,043"
"","","","前年","164","127","179","177","194","179","1,020","172","166","189","167","157","213","2,084"
"","","","前年比","71","119","106","84","72","109","92","60","0","0","0","0","0","50"
"","カネボウ化粧品","売上","当月","19,829","35,159","6,796","12,090","20,735","27,115","121,724","11,864","0","0","0","0","0","133,588"
"","","","前年","8,040","13,480","9,728","7,492","11,577","22,810","73,127","13,174","9,022","10,504","33,719","181,120","97,960","418,626"
"","","","前年比","247","261","70","161","179","119","166","90","0","0","0","0","0","32"
"","","粗利","当月","2,243","5,889","770","1,600","2,810","3,473","16,785","926","0","0","0","0","0","17,711"
"","","","前年","1,350","2,230","348","665","1,465","2,500","8,558","1,933","1,187","928","4,056","27,720","22,805","67,187"
"","","","前年比","166","264","221","241","192","139","196","48","0","0","0","0","0","26"
"","","客数","当月","10","13","4","8","15","12","62","9","0","0","0","0","0","71"
"","","","前年","3","3","6","9","8","11","40","8","6","7","11","22","17","111"
"","","","前年比","333","433","67","89","188","109","155","113","0","0","0","0","0","64"
"","コーセー化粧品","売上","当月","485,088","413,429","428,805","424,249","355,188","397,272","2,504,031","209,735","0","0","0","0","0","2,713,766"
"","","","前年","379,197","294,420","318,759","415,303","478,461","387,000","2,273,140","457,792","303,772","345,673","297,983","515,402","464,651","4,658,413"
"","","","前年比","128","140","135","102","74","103","110","46","0","0","0","0","0","58"
"","","粗利","当月","101,568","86,165","90,581","92,921","80,641","94,931","546,807","43,814","0","0","0","0","0","590,621"
"","","","前年","91,482","77,763","77,598","82,941","120,265","82,658","532,707","91,663","78,671","75,584","76,837","122,122","96,231","1,073,815"
"","","","前年比","111","111","117","112","67","115","103","48","0","0","0","0","0","55"
"","","客数","当月","63","59","68","63","56","68","377","39","0","0","0","0","0","416"
"","","","前年","64","50","64","79","77","72","406","80","58","68","60","81","82","835"
"","","","前年比","98","118","106","80","73","94","93","49","0","0","0","0","0","50"
"","アルビオン化粧品","売上","当月","123,358","143,552","155,806","153,428","189,024","117,271","882,439","85,240","0","0","0","0","0","967,679"
"","","","前年","93,310","180,316","145,190","83,912","95,899","193,988","792,615","145,598","169,212","229,874","102,640","194,616","152,624","1,787,179"
"","","","前年比","132","80","107","183","197","60","111","59","0","0","0","0","0","54"
"","","粗利","当月","13,938","15,077","16,906","18,675","22,364","14,256","101,216","7,320","0","0","0","0","0","108,536"
"","","","前年","11,145","16,726","15,830","9,557","9,669","21,828","84,755","14,268","20,657","26,214","12,740","19,526","17,319","195,479"
"","","","前年比","125","90","107","195","231","65","119","51","0","0","0","0","0","56"
"","","客数","当月","13","18","18","16","23","15","103","11","0","0","0","0","0","114"
"","","","前年","13","16","14","12","13","24","92","17","10","15","16","16","16","182"
"","","","前年比","100","113","129","133","177","63","112","65","0","0","0","0","0","63"
"","その他","売上","当月","5,000","6,000","0","6,100","7,200","0","24,300","0","0","0","0","0","0","24,300"
"","","","前年","0","0","0","0","0","0","0","0","0","5,000","0","0","0","5,000"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","486"
"","","粗利","当月","1,850","2,220","0","1,970","1,530","0","7,570","0","0","0","0","0","0","7,570"
"","","","前年","0","0","0","0","0","0","0","0","0","1,850","0","0","0","1,850"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"","","客数","当月","1","1","0","2","1","0","5","0","0","0","0","0","0","5"
"","","","前年","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","500"
"268　松本店","食品","売上","当月","184,227","147,738","134,356","110,479","217,620","158,715","953,135","143,670","0","0","0","0","0","1,096,805"
"","","","前年","185,737","191,455","177,549","194,175","174,964","193,149","1,117,029","237,127","188,342","153,353","265,180","245,171","263,573","2,469,775"
"","","","前年比","99","77","76","57","124","82","85","61","0","0","0","0","0","44"
"","","粗利","当月","60,701","61,777","44,483","43,680","74,663","62,279","347,583","53,261","0","0","0","0","0","400,844"
"","","","前年","51,555","69,936","61,362","86,320","58,924","57,125","385,222","82,890","66,264","55,061","86,724","79,419","99,672","855,252"
"","","","前年比","118","88","72","51","127","109","90","64","0","0","0","0","0","47"
"","","客数","当月","24","22","23","21","28","21","139","19","0","0","0","0","0","158"
"","","","前年","35","33","38","30","32","36","204","38","30","28","31","36","39","406"
"","","","前年比","69","67","61","70","88","58","68","50","0","0","0","0","0","39"
"","日用雑貨","売上","当月","32,485","39,522","58,101","82,113","27,414","69,246","308,881","63,806","0","0","0","0","0","372,687"
"","","","前年","117,740","68,672","77,236","53,807","73,346","50,615","441,416","41,525","44,957","160,215","47,689","46,200","65,382","847,384"
"","","","前年比","28","58","75","153","37","137","70","154","0","0","0","0","0","44"
"","","粗利","当月","5,108","6,449","13,888","17,782","5,315","23,110","71,652","10,223","0","0","0","0","0","81,875"
"","","","前年","15,793","15,382","16,880","8,485","15,089","11,974","83,603","10,023","10,395","34,833","6,478","4,873","15,250","165,455"
"","","","前年比","32","42","82","210","35","193","86","102","0","0","0","0","0","49"
"","","客数","当月","34","35","39","39","31","37","215","22","0","0","0","0","0","237"
"","","","前年","57","40","48","49","28","34","256","37","27","43","40","35","38","476"
"","","","前年比","60","88","81","80","111","109","84","59","0","0","0","0","0","50"
"","ＯＴＣ医薬品類","売上","当月","312,990","163,973","262,092","340,463","222,164","368,224","1,669,906","173,897","0","0","0","0","0","1,843,803"
"","","","前年","230,460","305,528","262,803","297,972","205,549","607,928","1,910,240","325,028","381,345","338,536","348,681","293,861","296,385","3,894,076"
"","","","前年比","136","54","100","114","108","61","87","54","0","0","0","0","0","47"
"","","粗利","当月","98,915","54,180","91,145","116,569","75,470","102,669","538,948","47,679","0","0","0","0","0","586,627"
"","","","前年","63,237","105,519","96,093","95,458","72,334","165,056","597,697","107,052","116,433","115,558","103,097","98,235","94,667","1,232,739"
"","","","前年比","156","51","95","122","104","62","90","45","0","0","0","0","0","48"
"","","客数","当月","75","48","83","90","72","95","463","51","0","0","0","0","0","514"
"","","","前年","74","69","97","71","61","93","465","104","78","79","85","89","78","978"
"","","","前年比","101","70","86","127","118","102","100","49","0","0","0","0","0","53"
"","化粧品","売上","当月","82,310","58,310","125,629","64,880","77,484","117,035","525,648","48,653","0","0","0","0","0","574,301"
"","","","前年","138,271","84,760","115,353","124,684","123,105","118,865","705,038","103,492","93,308","68,661","100,865","112,414","168,058","1,351,836"
"","","","前年比","60","69","109","52","63","98","75","47","0","0","0","0","0","42"
"","","粗利","当月","27,984","20,917","42,434","18,005","25,732","36,567","171,639","16,603","0","0","0","0","0","188,242"
"","","","前年","45,751","28,117","42,866","41,554","42,787","39,257","240,332","36,524","32,618","25,055","35,427","37,266","55,525","462,747"
"","","","前年比","61","74","99","43","60","93","71","45","0","0","0","0","0","41"
"","","客数","当月","24","24","30","21","15","27","141","12","0","0","0","0","0","153"
"","","","前年","37","25","32","29","28","29","180","24","19","19","29","30","43","344"
"","","","前年比","65","96","94","72","54","93","78","50","0","0","0","0","0","44"
"","その他商品","売上","当月","2,600","650","0","2,270","550","1,870","7,940","0","0","0","0","0","0","7,940"
"","","","前年","290","1,347","920","4,665","0","755","7,977","790","2,000","1,800","0","650","1,978","15,195"
"","","","前年比","897","48","0","49","0","248","100","0","0","0","0","0","0","52"
"","","粗利","当月","-50","120","0","140","105","140","455","0","0","0","0","0","0","455"
"","","","前年","112","-8","370","1,430","0","80","1,984","157","400","742","0","120","260","3,663"
"","","","前年比","-45","-1,500","0","10","0","175","23","0","0","0","0","0","0","12"
"","","客数","当月","4","1","0","3","1","3","12","0","0","0","0","0","0","12"
"","","","前年","1","2","1","1","0","2","7","2","1","1","0","1","4","16"
"","","","前年比","400","50","0","300","0","150","171","0","0","0","0","0","0","75"
"","湧永製品","売上","当月","734,526","469,540","796,969","792,178","680,614","1,072,930","4,546,757","409,242","0","0","0","0","0","4,955,999"
"","","","前年","735,708","816,129","814,631","873,753","599,064","851,773","4,691,058","796,144","811,125","666,922","859,591","773,359","1,209,788","9,807,987"
"","","","前年比","100","58","98","91","114","126","97","51","0","0","0","0","0","51"
"","","粗利","当月","372,441","211,276","419,223","399,848","331,357","539,135","2,273,280","205,615","0","0","0","0","0","2,478,895"
"","","","前年","372,572","406,684","436,199","439,704","313,658","418,093","2,386,910","400,966","414,188","311,361","419,103","389,368","610,329","4,932,225"
"","","","前年比","100","52","96","91","106","129","95","51","0","0","0","0","0","50"
"","","客数","当月","71","50","94","80","69","91","455","49","0","0","0","0","0","504"
"","","","前年","75","86","83","80","64","80","468","79","76","64","82","81","97","947"
"","","","前年比","95","58","113","100","108","114","97","62","0","0","0","0","0","53"
"","その他","売上","当月","4,810","0","5,230","0","4,810","5,650","20,500","0","0","0","0","0","0","20,500"
"","","","前年","0","0","0","0","0","0","0","0","0","0","0","0","9,620","9,620"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","213"
"","","粗利","当月","2,710","0","2,630","0","2,710","2,550","10,600","0","0","0","0","0","0","10,600"
"","","","前年","0","0","0","0","0","0","0","0","0","0","0","0","5,420","5,420"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","196"
"","","客数","当月","1","1","2","0","1","3","8","0","0","0","0","0","0","8"
"","","","前年","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","400"
"540　さなだ店","食品","売上","当月","22,224","32,700","39,070","39,696","18,459","38,422","190,571","12,007","0","0","0","0","0","202,578"
"","","","前年","62,122","39,876","74,235","57,603","63,756","53,769","351,361","39,105","43,370","70,059","35,722","19,273","39,139","598,029"
"","","","前年比","36","82","53","69","29","71","54","31","0","0","0","0","0","34"
"","","粗利","当月","3,657","13,716","8,893","12,324","6,021","11,998","56,609","3,358","0","0","0","0","0","59,967"
"","","","前年","24,301","11,563","25,576","19,478","21,383","16,282","118,583","10,644","16,910","24,412","14,146","4,120","15,646","204,461"
"","","","前年比","15","119","35","63","28","74","48","32","0","0","0","0","0","29"
"","","客数","当月","37","38","37","48","39","42","241","29","0","0","0","0","0","270"
"","","","前年","35","46","68","71","60","83","363","70","64","66","56","39","37","695"
"","","","前年比","106","83","54","68","65","51","66","41","0","0","0","0","0","39"
"","日用雑貨","売上","当月","22,830","6,326","18,477","11,809","15,691","11,938","87,071","6,375","0","0","0","0","0","93,446"
"","","","前年","24,771","27,054","31,840","22,691","30,058","30,484","166,898","26,512","23,858","22,298","22,830","14,145","26,180","302,721"
"","","","前年比","92","23","58","52","52","39","52","24","0","0","0","0","0","31"
"","","粗利","当月","5,850","1,445","4,637","2,122","4,912","1,094","20,060","2,174","0","0","0","0","0","22,234"
"","","","前年","7,003","7,330","8,494","5,340","8,732","6,799","43,698","7,512","5,084","5,616","4,954","3,239","5,960","76,063"
"","","","前年比","84","20","55","40","56","16","46","29","0","0","0","0","0","29"
"","","客数","当月","19","5","16","18","19","16","93","4","0","0","0","0","0","97"
"","","","前年","22","27","25","25","24","34","157","23","19","14","17","12","20","262"
"","","","前年比","86","19","64","72","79","47","59","17","0","0","0","0","0","37"
"","ＯＴＣ医薬品類","売上","当月","59,986","81,082","87,099","95,247","91,840","73,675","488,929","23,237","0","0","0","0","0","512,166"
"","","","前年","75,084","103,757","57,800","79,848","71,411","82,075","469,975","82,109","93,810","59,410","64,324","100,607","77,656","947,891"
"","","","前年比","80","78","151","119","129","90","104","28","0","0","0","0","0","54"
"","","粗利","当月","18,440","18,804","24,105","23,014","25,013","19,654","129,030","5,866","0","0","0","0","0","134,896"
"","","","前年","19,285","27,924","11,247","15,662","13,750","18,513","106,381","18,272","21,214","14,286","13,322","21,579","19,721","214,775"
"","","","前年比","96","67","214","147","182","106","121","32","0","0","0","0","0","63"
"","","客数","当月","63","61","69","73","68","69","403","34","0","0","0","0","0","437"
"","","","前年","61","74","64","76","78","84","437","85","74","67","74","68","78","883"
"","","","前年比","103","82","108","96","87","82","92","40","0","0","0","0","0","49"
"","化粧品","売上","当月","13,790","1,624","5,722","5,758","702","12,468","40,064","12,619","0","0","0","0","0","52,683"
"","","","前年","10,954","4,670","7,811","12,794","16,762","10,700","63,691","14,559","5,171","13,636","7,495","3,587","22,347","130,486"
"","","","前年比","126","35","73","45","4","117","63","87","0","0","0","0","0","40"
"","","粗利","当月","2,990","475","1,981","1,417","204","3,636","10,703","2,184","0","0","0","0","0","12,887"
"","","","前年","3,457","945","2,238","4,640","4,967","4,621","20,868","5,119","1,871","5,155","2,060","1,044","5,328","41,445"
"","","","前年比","86","50","89","31","4","79","51","43","0","0","0","0","0","31"
"","","客数","当月","5","2","4","5","1","8","25","6","0","0","0","0","0","31"
"","","","前年","9","3","7","7","5","6","37","4","2","10","6","8","11","78"
"","","","前年比","56","67","57","71","20","133","68","150","0","0","0","0","0","40"
"","その他商品","売上","当月","33,755","30,343","31,346","47,425","17,674","71,786","232,329","21,783","0","0","0","0","0","254,112"
"","","","前年","13,794","12,679","59,750","47,932","36,715","33,027","203,897","59,333","38,654","30,058","34,138","26,267","64,027","456,374"
"","","","前年比","245","239","52","99","48","217","114","37","0","0","0","0","0","56"
"","","粗利","当月","13,152","13,698","12,765","21,941","8,552","32,215","102,323","8,853","0","0","0","0","0","111,176"
"","","","前年","5,846","5,384","30,292","23,033","15,816","13,714","94,085","29,759","19,627","14,827","16,372","11,295","32,241","218,206"
"","","","前年比","225","254","42","95","54","235","109","30","0","0","0","0","0","51"
"","","客数","当月","9","12","17","9","6","14","67","8","0","0","0","0","0","75"
"","","","前年","9","8","10","16","14","12","69","14","6","12","18","15","18","152"
"","","","前年比","100","150","170","56","43","117","97","57","0","0","0","0","0","49"
"","選抜２００品","売上","当月","1,860","1,088","395","894","596","198","5,031","0","0","0","0","0","0","5,031"
"","","","前年","0","1,980","1,784","3,270","990","1,980","10,004","594","594","1,781","0","495","1,188","14,656"
"","","","前年比","0","55","22","27","60","10","50","0","0","0","0","0","0","34"
"","","粗利","当月","746","291","198","264","176","78","1,753","0","0","0","0","0","0","1,753"
"","","","前年","0","780","644","1,200","390","780","3,794","234","234","744","0","-225","468","5,249"
"","","","前年比","0","37","31","22","45","10","46","0","0","0","0","0","0","33"
"","","客数","当月","2","2","1","3","1","1","10","0","0","0","0","0","0","10"
"","","","前年","0","6","5","6","4","5","26","3","2","7","0","2","4","44"
"","","","前年比","0","33","20","50","25","20","38","0","0","0","0","0","0","23"
"","湧永製品","売上","当月","71,395","38,040","73,885","75,560","113,636","49,480","421,996","81,379","0","0","0","0","0","503,375"
"","","","前年","82,223","37,630","109,239","180,354","162,937","65,821","638,204","58,580","125,341","50,555","69,906","59,604","185,865","1,188,055"
"","","","前年比","87","101","68","42","70","75","66","139","0","0","0","0","0","42"
"","","粗利","当月","31,523","16,655","35,242","31,594","38,862","21,888","175,764","37,596","0","0","0","0","0","213,360"
"","","","前年","38,795","16,815","50,710","84,075","72,616","31,950","294,961","17,632","54,799","20,410","30,881","28,198","80,714","527,595"
"","","","前年比","81","99","69","38","54","69","60","213","0","0","0","0","0","40"
"","","客数","当月","9","6","12","8","11","8","54","11","0","0","0","0","0","65"
"","","","前年","9","6","16","18","22","13","84","8","9","9","9","10","17","146"
"","","","前年比","100","100","75","44","50","62","64","138","0","0","0","0","0","45"
"","資生堂化粧品","売上","当月","18,986","4,570","7,140","12,108","19,700","4,500","67,004","2,780","0","0","0","0","0","69,784"
"","","","前年","4,250","3,300","14,602","15,357","12,778","10,298","60,585","30,741","23,750","1,000","7,350","11,072","23,953","158,451"
"","","","前年比","447","138","49","79","154","44","111","9","0","0","0","0","0","44"
"","","粗利","当月","5,031","665","2,080","3,592","4,740","1,225","17,333","834","0","0","0","0","0","18,167"
"","","","前年","1,075","1,155","3,936","4,036","2,382","2,513","15,097","5,898","9,050","350","1,925","3,500","6,702","42,522"
"","","","前年比","468","58","53","89","199","49","115","14","0","0","0","0","0","43"
"","","客数","当月","6","2","4","5","7","2","26","2","0","0","0","0","0","28"
"","","","前年","2","2","5","7","10","5","31","12","5","1","5","7","12","73"
"","","","前年比","300","100","80","71","70","40","84","17","0","0","0","0","0","38"
"","カネボウ化粧品","売上","当月","43,320","37,940","25,438","44,853","60,814","57,953","270,318","76,560","0","0","0","0","0","346,878"
"","","","前年","72,006","55,674","51,610","111,500","103,065","55,848","449,703","116,220","60,038","49,746","91,501","78,038","96,963","942,209"
"","","","前年比","60","68","49","40","59","104","60","66","0","0","0","0","0","37"
"","","粗利","当月","19,870","16,290","10,293","19,098","23,864","25,203","114,618","34,275","0","0","0","0","0","148,893"
"","","","前年","33,556","18,124","23,155","49,145","38,480","22,848","185,308","48,170","24,862","22,946","37,201","31,988","39,558","390,033"
"","","","前年比","59","90","44","39","62","110","62","71","0","0","0","0","0","38"
"","","客数","当月","7","6","8","10","9","11","51","7","0","0","0","0","0","58"
"","","","前年","9","12","12","19","18","11","81","12","14","9","11","13","14","154"
"","","","前年比","78","50","67","53","50","100","63","58","0","0","0","0","0","38"
"","その他","売上","当月","5,480","10,180","5,220","5,768","8,248","9,084","43,980","6,056","0","0","0","0","0","50,036"
"","","","前年","3,576","3,576","7,152","7,152","8,796","4,672","34,924","10,728","5,768","5,220","5,228","4,124","6,316","72,308"
"","","","前年比","153","285","73","81","94","194","126","56","0","0","0","0","0","69"
"","","粗利","当月","1,680","2,580","1,420","1,588","2,168","2,244","11,680","1,496","0","0","0","0","0","13,176"
"","","","前年","916","916","1,832","1,832","2,336","1,252","9,084","2,748","1,588","1,420","1,048","1,084","1,756","18,728"
"","","","前年比","183","282","78","87","93","179","129","54","0","0","0","0","0","70"
"","","客数","当月","5","5","4","4","6","5","29","3","0","0","0","0","0","32"
"","","","前年","2","2","4","4","6","4","22","7","5","4","5","3","5","51"
"","","","前年比","250","250","100","100","100","125","132","43","0","0","0","0","0","63"
"554　愛国東店","食品","売上","当月","240,619","441,045","335,967","393,149","348,624","447,688","2,207,092","207,057","0","0","0","0","0","2,414,149"
"","","","前年","204,881","232,957","355,666","349,547","316,579","428,997","1,888,627","353,066","437,583","339,155","425,110","326,267","461,078","4,230,886"
"","","","前年比","117","189","94","112","110","104","117","59","0","0","0","0","0","57"
"","","粗利","当月","83,903","159,590","115,741","136,009","123,516","172,690","791,449","74,405","0","0","0","0","0","865,854"
"","","","前年","54,101","79,577","122,237","119,974","111,734","153,598","641,221","120,285","143,884","123,657","155,731","109,011","167,562","1,461,351"
"","","","前年比","155","201","95","113","111","112","123","62","0","0","0","0","0","59"
"","","客数","当月","133","137","141","153","145","161","870","75","0","0","0","0","0","945"
"","","","前年","152","122","170","170","133","190","937","156","198","151","158","166","165","1,931"
"","","","前年比","88","112","83","90","109","85","93","48","0","0","0","0","0","49"
"","日用雑貨","売上","当月","277,217","317,405","293,619","322,841","264,184","258,321","1,733,587","131,366","0","0","0","0","0","1,864,953"
"","","","前年","346,056","354,023","252,335","371,154","303,715","345,570","1,972,853","303,599","339,937","294,125","378,201","241,024","378,693","3,908,432"
"","","","前年比","80","90","116","87","87","75","88","43","0","0","0","0","0","48"
"","","粗利","当月","58,173","56,735","62,436","66,829","56,673","58,214","359,060","26,647","0","0","0","0","0","385,707"
"","","","前年","79,952","79,098","56,180","77,473","62,245","71,782","426,730","69,479","74,362","66,314","72,823","53,980","83,319","847,007"
"","","","前年比","73","72","111","86","91","81","84","38","0","0","0","0","0","46"
"","","客数","当月","232","204","224","207","185","200","1,252","111","0","0","0","0","0","1,363"
"","","","前年","234","230","229","227","253","228","1,401","237","264","197","219","211","245","2,774"
"","","","前年比","99","89","98","91","73","88","89","47","0","0","0","0","0","49"
"","ＯＴＣ医薬品類","売上","当月","690,309","732,648","775,106","671,633","593,640","770,587","4,233,923","429,355","0","0","0","0","0","4,663,278"
"","","","前年","925,909","922,063","813,154","930,129","872,476","892,670","5,356,401","869,139","932,509","847,506","1,022,068","648,350","928,606","10,604,579"
"","","","前年比","75","79","95","72","68","86","79","49","0","0","0","0","0","44"
"","","粗利","当月","284,738","300,045","322,547","260,124","244,393","318,914","1,730,761","173,319","0","0","0","0","0","1,904,080"
"","","","前年","380,142","379,673","345,551","384,600","362,211","362,260","2,214,437","349,586","387,045","359,793","421,453","269,691","376,263","4,378,268"
"","","","前年比","75","79","93","68","67","88","78","50","0","0","0","0","0","43"
"","","客数","当月","243","206","215","213","205","237","1,319","117","0","0","0","0","0","1,436"
"","","","前年","272","240","255","271","257","256","1,551","241","276","220","272","229","280","3,069"
"","","","前年比","89","86","84","79","80","93","85","49","0","0","0","0","0","47"
"","化粧品","売上","当月","129,630","97,354","157,620","118,516","135,668","131,946","770,734","94,681","0","0","0","0","0","865,415"
"","","","前年","168,135","116,942","163,122","127,234","118,712","148,737","842,882","154,212","174,533","121,024","124,526","130,595","182,948","1,730,720"
"","","","前年比","77","83","97","93","114","89","91","61","0","0","0","0","0","50"
