店舗名,商品コード,商品名,税率,賞味期限,容量,原単価,売単価,在庫数,原価金額,売価金額
"佐々店","2087801027991","保険料(洗濯機) ｸﾛﾈｺ","10.00","","","0.00","0","-5","0","0"
"佐々店","2087801028196","配達設置(洗濯機) 自社","10.00","","","0.00","0","-15","0","0"
"佐々店","2087801028202","配達設置(洗濯機) M","10.00","","","0.00","0","-75","0","0"
"佐々店","4549873090306","BD-SG100EL(W) ﾄﾞﾗﾑ式洗濯乾燥機","10.00","","","127,920.00","209,800","-2","-255,840","-419,600"
"佐々店","4549873135861","BD-SG100GL-W ﾄﾞﾗﾑ式洗濯機","0.00","","","125,216.00","199,800","1","125,216","199,800"
"佐々店","4549980504611","NA-F70PB15-T 洗濯機","10.00","","","41,034.00","59,800","-2","-82,068","-119,600"
"佐々店","4904530404078","AW-10SD8(T) 洗濯機","10.00","","","52,000.00","89,800","-1","-52,000","-89,800"
"佐々店","4967576599733","CDK842 ﾄﾞﾗﾑ式洗濯乾燥機 左開","0.00","","","80,958.00","133,800","-1","-80,958","-133,800"
"佐世保本店","2087801027991","保険料(洗濯機) ｸﾛﾈｺ","10.00","","","0.00","0","-4","0","0"
"佐世保本店","2087801028196","配達設置(洗濯機) 自社","10.00","","","0.00","0","-20","0","0"
"佐世保本店","2087801028202","配達設置(洗濯機) M","10.00","","","0.00","0","-27","0","0"
"佐世保本店","2087801028219","配達設置(洗濯機) J","10.00","","","0.00","0","-2","0","0"
"佐世保本店","4549980441459","NA-F60B14-C 全自動洗濯機","0.00","","","30,160.00","43,455","-1","-30,160","-43,455"
"佐世保本店","4549980504611","NA-F70PB15-T 洗濯機","10.00","","","41,034.00","59,800","1","41,034","59,800"
"佐世保本店","4904530100819","AW-7G9(W) 洗濯機","0.00","","","34,798.00","69,800","-1","-34,798","-69,800"
"佐世保本店","4904530404078","AW-10SD8(T) 洗濯機","10.00","","","52,000.00","89,800","1","52,000","89,800"
"大塔店","2087801027991","保険料(洗濯機) ｸﾛﾈｺ","10.00","","","0.00","0","-8","0","0"
"大塔店","2087801028196","配達設置(洗濯機) 自社","10.00","","","0.00","0","-10","0","0"
"大塔店","2087801028202","配達設置(洗濯機) M","10.00","","","0.00","0","-64","0","0"
"大塔店","4549873135861","BD-SG100GL-W ﾄﾞﾗﾑ式洗濯機","0.00","","","125,216.00","199,800","-1","-125,216","-199,800"
"大塔店","4549980441435","NA-F70PB14-T 洗濯機","10.00","","","41,034.00","62,800","-2","-82,068","-125,600"
"大塔店","4549980504611","NA-F70PB15-T 洗濯機","10.00","","","41,034.00","59,800","2","82,068","119,600"
"大塔店","4904530100819","AW-7G9(W) 洗濯機","0.00","","","34,798.00","69,800","1","34,798","69,800"
"大塔店","4904530100864","ｾﾞﾝｼﾞｾﾝ AW-7DH1(W)","10.00","","","0.00","68,800","-1","0","-68,800"
"大塔店","4904530404313","AW-8V9(W) 洗濯乾燥機","0.00","","","69,860.00","99,819","-1","-69,860","-99,819"
"大塔店","4967576599733","CDK842 ﾄﾞﾗﾑ式洗濯乾燥機 左開","0.00","","","80,958.00","133,800","-1","-80,958","-133,800"