店舗名,税込売上金額,税抜売上金額,消費税8%,消費税10%,売上点数,平均単価,来店回数,客単価,値引額
"406 コスメイシイ","4,338,265","3,945,422","6,735","386,108","832","4,742","245","16,104","1,293,495"
"268　松本店","1,380,021","1,257,322","12,034","110,665","379","3,317","192","6,549","1,119"
"540　さなだ店","547,069","498,113","4,003","44,953","310","1,607","156","3,193","57,629"
"554　愛国東店","2,908,506","2,653,415","35,185","219,908","1,687","1,573","598","4,437","60,774"
"552　住之江店","5,929,539","5,416,592","113,192","399,756","3,217","1,684","949","5,708","140,668"
"601　上市店","302,004","275,205","2,670","24,129","331","831","124","2,219","369"
"631　パスコ店","6,368,642","5,805,803","64,581","498,258","8,495","683","3,411","1,702","202,085"
"634　プラファ店","4,011,067","3,659,489","55,089","296,489","3,280","1,116","1,447","2,529","127,164"
"636　砺波店","3,081,751","2,811,537","42,335","227,879","2,040","1,378","836","3,363","99,545"
"639　大島店","3,528,303","3,218,093","44,400","265,810","2,970","1,084","1,192","2,700","92,569"
"063　ミラドラ","3,649,417","3,332,079","61,978","255,360","3,438","969","738","4,515","21,583"
"566　五位田店","2,774,670","2,530,763","36,325","207,582","1,542","1,641","372","6,803","207,098"
"559　菅谷店","505,564","460,931","5,385","39,248","442","1,043","202","2,282","2,343"
"236ミラドラ山口あさか店","70,147","64,227","1,993","3,927","18","3,568","13","4,941","1,317"