日付,店舗名,部門名,内訳,売上金額,粗利金額,粗利率,数量,客数
"2020/08","企業計","電話・FAX","当月","0","0","0","0","0"
"","","電子辞書・学習・翻訳","当月","95,920","32,007","33.37","9","6"
"","","冷蔵庫","当月","4,386,135","1,208,998","27.56","76","39"
"","","調理家電","当月","3,239,595","1,222,756","37.74","232","153"
"","","洗濯機","当月","1,183,354","320,793","27.11","42","22"
"","","家事用品・家電","当月","110,839","46,278","41.75","14","12"
"","","クリーナー","当月","6,383,564","2,390,385","37.45","289","250"
"","","エアコン","当月","13,626,056","5,873,493","43.10","431","168"
"","","空清・暖房器具・サーキュレーター","当月","1,223,315","408,169","33.37","63","57"
"","","理美容・健康・スポーツ","当月","1,427,402","530,273","37.15","62","59"
"","","カー用品","当月","18,000","5,520","30.67","1","1"
"","","ファッション・時計","当月","136,361","63,737","46.74","9","9"
"","","寝具・インテリア","当月","294,154","141,526","48.11","38","28"
"","","","当月","0","0","0","0","0"
"","","","当月","0","0","0","0","0"
"","","","当月","0","0","0","0","0"
"","","","当月","0","0","0","0","0"
"","","その他商品","当月","231,559","95,018","41.03","125","82"
"","","リサイクル料","当月","765,561","142,831","18.66","311","320"
"","","修理","当月","33,565","6,711","19.99","5","6"
"","","注文品","当月","1,335,139","267,018","20.00","31","32"
"","","健康食品","当月","0","0","0","0","0"
"","","その他","当月","214,412","0","0.00","168","128"
"","","スーツケース","当月","789,097","433,458","54.93","84","70"
"","","記録メディア","当月","156,411","53,191","34.01","34","35"
"","","カメラ","当月","65,751","11,843","18.01","6","5"
"","","テレビ","当月","3,335,924","828,779","24.84","87","51"
"","","オーディオ","当月","127,407","44,222","34.71","16","16"
"","","BD/DVD","当月","118,910","25,014","21.04","3","6"
"","","プリント","当月","756,500","452,272","59.78","13,559","427"
"","","写真用品","当月","40,755","13,044","32.01","56","39"
"","","パソコン","当月","520,610","105,253","20.22","106","60"
"","","外注プリント","当月","15,613","1,000","6.40","8","5"
"2020/09","企業計","電話・FAX","当月","0","0","0","0","0"
"","","電子辞書・学習・翻訳","当月","85,748","30,499","35.57","7","9"
"","","冷蔵庫","当月","3,321,432","1,009,715","30.40","43","31"
"","","調理家電","当月","1,966,787","817,213","41.55","145","123"
"","","洗濯機","当月","1,180,171","290,759","24.64","33","18"
"","","家事用品・家電","当月","154,258","78,506","50.89","16","16"
"","","クリーナー","当月","2,569,957","977,993","38.05","130","123"
"","","エアコン","当月","2,584,427","1,137,796","44.03","66","32"
"","","空清・暖房器具・サーキュレーター","当月","529,912","173,988","32.83","22","21"
"","","理美容・健康・スポーツ","当月","3,372,794","1,446,211","42.88","115","107"
"","","カー用品","当月","167,792","54,286","32.35","8","8"
"","","ファッション・時計","当月","179,530","82,592","46.00","11","12"
"","","寝具・インテリア","当月","1,117,436","458,275","41.01","97","82"
"","","","当月","0","0","0","0","0"
"","","","当月","0","0","0","0","0"
"","","","当月","0","0","0","0","0"
"","","","当月","0","0","0","0","0"
"","","その他商品","当月","272,413","101,122","37.12","176","110"
"","","リサイクル料","当月","439,716","94,076","21.39","124","134"
"","","修理","当月","118,101","23,620","20.00","12","14"
"","","注文品","当月","610,723","122,140","20.00","22","69"
"","","健康食品","当月","0","0","0","0","0"
"","","その他","当月","250,052","933","0.37","198","202"
"","","スーツケース","当月","1,703,370","849,539","49.87","178","142"
"","","記録メディア","当月","159,122","59,057","37.11","49","49"
"","","カメラ","当月","355,151","79,039","22.26","30","14"
"","","テレビ","当月","4,021,061","954,322","23.73","75","61"
"","","オーディオ","当月","433,035","138,255","31.93","45","41"
"","","BD/DVD","当月","664,505","146,579","22.06","10","10"
"","","プリント","当月","830,915","440,972","53.07","17,233","461"
"","","パソコン","当月","425,672","72,438","17.02","105","63"
"","","外注プリント","当月","9,068","1,000","11.03","7","4"
"","","写真用品","当月","81,442","25,829","31.71","76","54"
"2020/10","企業計","電話・FAX","当月","0","0","0","0","0"
"","","電子辞書・学習・翻訳","当月","28,728","14,048","48.90","2","2"
"","","冷蔵庫","当月","1,167,603","293,095","25.10","15","16"
"","","調理家電","当月","2,248,024","869,271","38.67","164","128"
"","","洗濯機","当月","1,443,096","411,820","28.54","38","20"
"","","家事用品・家電","当月","169,768","82,908","48.84","19","20"
"","","クリーナー","当月","4,137,796","1,401,636","33.87","192","162"
"","","エアコン","当月","1,086,819","436,219","40.14","26","13"
"","","空清・暖房器具・サーキュレーター","当月","3,077,819","1,047,217","34.02","134","136"
"","","理美容・健康・スポーツ","当月","1,985,626","952,651","47.98","142","142"
"","","カー用品","当月","75,819","15,062","19.87","3","3"
"","","ファッション・時計","当月","67,294","31,539","46.87","5","5"
"","","寝具・インテリア","当月","3,475,173","1,729,546","49.77","382","274"
"","","","当月","0","0","0","0","0"
"","","","当月","0","0","0","0","0"
"","","","当月","0","0","0","0","0"
"","","","当月","0","0","0","0","0"
"","","その他商品","当月","113,065","50,813","44.94","99","67"
"","","リサイクル料","当月","298,694","58,084","19.45","114","131"
"","","修理","当月","80,270","16,051","20.00","9","10"
"","","注文品","当月","154,577","30,708","19.87","35","79"
"","","健康食品","当月","0","0","0","0","0"
"","","その他","当月","242,197","504","0.21","141","145"
"","","スーツケース","当月","1,277,913","686,160","53.69","115","91"
"","","記録メディア","当月","124,823","46,925","37.59","54","57"
"","","カメラ","当月","567,501","95,002","16.74","33","21"
"","","テレビ","当月","5,484,812","1,342,834","24.48","95","63"
"","","オーディオ","当月","202,097","66,207","32.76","21","23"
"","","BD/DVD","当月","249,635","56,049","22.45","5","9"
"","","プリント","当月","936,119","560,734","59.90","19,613","494"
"","","パソコン","当月","1,228,810","188,295","15.32","117","66"
"","","写真用品","当月","46,855","14,074","30.04","61","41"
"","","外注プリント","当月","32,858","-2,757","-8.39","318","9"
"2020/11","企業計","電話・FAX","当月","0","0","0","0","0"
