店舗名,棚番(初回),棚番(最終),棚番(他),商品コード,商品名,税率,部門コード,部門名,大分類コード,大分類名,中分類コード,中分類名,仕入先コード,仕入先名,実棚数量(A),実績差異,本部原価(B),店舗原価(C),本部実棚金額(D=A×B),店舗実棚金額(E=A×C),実棚売価金額,単品売価,原価差額(B-C),実棚差額(D-E)
"佐世保本店","","","","0027075158443","ｼﾞｭﾋﾟﾀｰ Ⅲ 8x21ｼﾙﾊﾞｰ","10.00","05","カメラ","0005","カメラ","0058","光学製品","0032","パイオニア","1","0","2520.00","2520.00","2,520.00","2,520","4,298","4,298","2,520.00","0.00"
"佐世保本店","","","","0027075158719","ｼﾞｭﾋﾟﾀｰ Ⅲ 8x21ﾌﾞﾗｯｸ","10.00","05","カメラ","0005","カメラ","0058","光学製品","0032","パイオニア","1","0","2520.00","2520.00","2,520.00","2,520","4,298","4,298","2,520.00","0.00"
"佐世保本店","","","","0619659161514","SDSQUAR-064G-GN6MN SDｶｰﾄﾞ","10.00","04","記録メディア","0004","記録メディア","0040","記録メディア","0032","パイオニア","1","0","1900.00","1900.00","1,900.00","1,900","3,980","3,980","1,900.00","0.00"
"佐世保本店","","","","0885155007346","R980060 ﾙﾝﾊﾞ980","10.00","16","クリーナー","0016","クリーナー","0162","ふとん・ロボット掃除機","0020","ジャパネット","1","0","28080.00","28080.00","28,080.00","28,080","49,800","49,800","28,080.00","0.00"
"佐世保本店","","","","0885155007506","B380065 床拭きﾛﾎﾞｯﾄ ﾌﾞﾗｰﾊﾞ","10.00","16","クリーナー","0016","クリーナー","0162","ふとん・ロボット掃除機","0020","ジャパネット","2","-1","16822.00","16822.00","33,644.00","33,644","59,600","29,800","33,644.00","0.00"
"佐世保本店","","","","0885155030733","R694060 ﾛﾎﾞｯﾄ掃除機","10.00","16","クリーナー","0016","クリーナー","0162","ふとん・ロボット掃除機","0020","ジャパネット","2","0","15475.00","15475.00","30,950.00","30,950","59,600","29,800","30,950.00","0.00"
"佐世保本店","","","","2087801081047","IW60290 ﾌｫｰﾏﾙﾊﾞｯｸｾｯﾄ","10.00","21","ファッション・時計","0021","ファッション・時計","0210","ファッション小物","0020","ジャパネット","1","0","5096.00","5096.00","5,096.00","5,096","10,000","10,000","5,096.00","0.00"
"佐世保本店","","","","4054278297736","SC JTK20 ｽﾁｰﾑｸﾘｰﾅｰ","10.00","16","クリーナー","0016","クリーナー","0163","高圧洗浄機・スチームクリーナー","0020","ジャパネット","2","-1","8684.00","8684.00","17,368.00","17,368","53,600","26,800","17,368.00","0.00"
"佐世保本店","","","","4054278848280","JTKｻｲﾚﾝﾄS 高圧洗浄機","10.00","16","クリーナー","0016","クリーナー","0163","高圧洗浄機・スチームクリーナー","0020","ジャパネット","4","0","10785.00","10785.00","43,140.00","43,140","139,920","34,980","43,140.00","0.00"
"佐世保本店","","","","4210201072485","CCR4CR 洗浄液4個入り","10.00","19","理美容・健康・スポーツ","0019","理美容・健康・スポーツ","0191","シェーバー","0020","ジャパネット","2","0","1824.00","1824.00","3,648.00","3,648","5,400","2,700","3,648.00","0.00"
"佐世保本店","","","","4210201167051","9299s ｼｪｰﾊﾞｰ ｼﾘｰｽﾞ9","0.00","19","理美容・健康・スポーツ","0019","理美容・健康・スポーツ","0191","シェーバー","0020","ジャパネット","1","0","12425.00","12425.00","12,425.00","12,425","27,255","27,255","12,425.00","0.00"
"佐世保本店","","","","4526044013814","HMR-FS182 電子ﾚﾝｼﾞ","10.00","13","調理家電","0013","調理家電","0130","電子レンジ・トースター","0020","ジャパネット","1","0","9984.00","9984.00","9,984.00","9,984","15,800","15,800","9,984.00","0.00"
"佐世保本店","","","","4526044016952","RM-FJ21 R ｼｪｰﾊﾞｰ 赤","0.00","19","理美容・健康・スポーツ","0019","理美容・健康・スポーツ","0191","シェーバー","0020","ジャパネット","3","0","5866.00","5866.00","17,598.00","17,598","29,940","9,980","17,598.00","0.00"
"佐世保本店","","","","4526044016969","RM-FJ21 S ｼｪｰﾊﾞｰ 銀","0.00","19","理美容・健康・スポーツ","0019","理美容・健康・スポーツ","0191","シェーバー","0020","ジャパネット","3","0","5866.00","5866.00","17,598.00","17,598","29,940","9,980","17,598.00","0.00"
"佐世保本店","","","","4526044017096","K-FJ2 ﾒﾝｽﾞｼｪｰﾊﾞｰ替刃","0.00","19","理美容・健康・スポーツ","0019","理美容・健康・スポーツ","0191","シェーバー","0020","ジャパネット","1","0","3328.00","3328.00","3,328.00","3,328","5,455","5,455","3,328.00","0.00"
"佐世保本店","","","","4526044017218","RM-FJ21A ｼｪｰﾊﾞｰ ﾌﾞﾙｰ","0.00","19","理美容・健康・スポーツ","0019","理美容・健康・スポーツ","0191","シェーバー","0020","ジャパネット","3","0","5866.00","5866.00","17,598.00","17,598","27,219","9,073","17,598.00","0.00"
"佐世保本店","","","","4545350029845","8X21RCⅡｼｬﾝﾊﾟﾝｺﾞｰﾙﾄﾞ","10.00","05","カメラ","0005","カメラ","0058","光学製品","0032","パイオニア","1","0","3260.00","3260.00","3,260.00","3,260","5,378","5,378","3,260.00","0.00"
"佐世保本店","","","","4545350029852","8X21RCⅡ ﾊﾟｰﾙﾎﾜｲﾄ","10.00","05","カメラ","0005","カメラ","0058","光学製品","0032","パイオニア","1","0","3260.00","3260.00","3,260.00","3,260","5,378","5,378","3,260.00","0.00"
"佐世保本店","","","","4545350038328","10X21RCⅡWPﾀﾞｰｸｸﾞﾘｰﾝ","10.00","05","カメラ","0005","カメラ","0058","光学製品","0032","パイオニア","1","0","5410.00","5410.00","5,410.00","5,410","8,402","8,402","5,410.00","0.00"
"佐世保本店","","","","4545708002667","AN-R068 ﾄﾞﾗｲﾌﾞﾚｺｰﾀﾞｰ","10.00","20","カー用品","0020","カー用品","0200","ドライブレコーダー","0020","ジャパネット","1","0","13312.00","13312.00","13,312.00","13,312","21,384","21,384","13,312.00","0.00"
"佐世保本店","","","","4547410089868","135 PREMIUM400 36EX1","10.00","03","写真用品","0003","写真用品","0030","フィルム","0030","富士フィルムイメージング","4","-1","1050.00","1050.00","4,200.00","4,200","6,600","1,650","4,200.00","0.00"
"佐世保本店","","","","4547410090970","WPL100PRM 光沢印画紙","10.00","09","パソコン","0009","パソコン","0094","用紙・インク","0030","富士フィルムイメージング","3","0","586.00","586.00","1,758.00","1,758","2,760","920","1,758.00","0.00"
"佐世保本店","","","","4547410091014","WP2L30PRM 光沢印画紙","10.00","09","パソコン","0009","パソコン","0094","用紙・インク","0030","富士フィルムイメージング","3","0","656.00","656.00","1,968.00","1,968","3,090","1,030","1,968.00","0.00"
"佐世保本店","","","","4547410091083","WPKG50PRM 光沢印画紙","10.00","09","パソコン","0009","パソコン","0094","用紙・インク","0030","富士フィルムイメージング","3","0","509.00","509.00","1,527.00","1,527","2,400","800","1,527.00","0.00"
"佐世保本店","","","","4547410091106","WPA420PRM 光沢印画紙","10.00","09","パソコン","0009","パソコン","0094","用紙・インク","0030","富士フィルムイメージング","2","0","808.00","808.00","1,616.00","1,616","2,540","1,270","1,616.00","0.00"
"佐世保本店","","","","4547410260649","INS MINI90 ﾌﾞﾗｯｸ ﾁｪｷ","10.00","05","カメラ","0005","カメラ","0051","インスタントカメラ","0030","富士フィルムイメージング","1","0","14332.00","14332.00","14,332.00","14,332","20,304","20,304","14,332.00","0.00"
"佐世保本店","","","","4547410313857","INSTAX MINI 70 WHI","10.00","05","カメラ","0005","カメラ","0051","インスタントカメラ","0030","富士フィルムイメージング","1","0","10549.00","10549.00","10,549.00","10,549","14,800","14,800","10,549.00","0.00"
"佐世保本店","","","","4547410317251","ﾌｫﾄﾃﾞｺﾎﾞｰﾄﾞ ｱｲﾎﾞﾘ B5","10.00","03","写真用品","0003","写真用品","0033","額縁・フレーム","0030","富士フィルムイメージング","1","0","336.00","336.00","336.00","336","518","518","336.00","0.00"
"佐世保本店","","","","4547410346701","APJ ﾅﾁｭﾗﾙﾄｰﾝ 89X89NA","10.00","03","写真用品","0003","写真用品","0033","額縁・フレーム","0030","富士フィルムイメージング","1","0","840.00","840.00","840.00","840","1,296","1,296","840.00","0.00"
"佐世保本店","","","","4547410346718","APJ ﾅﾁｭﾗﾙﾄｰﾝ 89X89WH","10.00","03","写真用品","0003","写真用品","0033","額縁・フレーム","0030","富士フィルムイメージング","1","0","840.00","840.00","840.00","840","1,296","1,296","840.00","0.00"
"佐世保本店","","","","4547410346725","APJ ﾅﾁｭﾗﾙﾄｰﾝ 127 NA","10.00","03","写真用品","0003","写真用品","0033","額縁・フレーム","0030","富士フィルムイメージング","1","0","1260.00","1260.00","1,260.00","1,260","1,944","1,944","1,260.00","0.00"
