店舗,営業日数,税込売上額,税抜売上額,消費税8%,消費税10%,構成比,数量,平均数量,来店数,平均単価,客平均単価,引額
"406 コスメイシイ","26日","5455929","4961192","5412","489325","13.89  ","1017","39","221","4878","22449","1400635"
"268　松本店","19日","1058660","965198","12116","81346","2.70  ","340","18","161","2839","5995","1854"
"540　さなだ店","24日","347108","316473","3754","26881","0.89  ","262","10","145","1208","2183","27857"
"554　愛国東店","30日","3047129","2782410","49820","214899","7.79  ","1571","52","579","1771","4806","84527"
"552　住之江店","30日","5900197","5389352","110692","400153","15.09  ","3470","116","1032","1553","5222","158851"
"601　上市店","24日","294767","268683","3150","22934","0.75  ","306","13","115","878","2336","440"
"631　パスコ店","29日","5664303","5163396","56259","444648","14.45  ","6926","119","2968","746","1740","138895"
"634　プラファ店","30日","4342470","3960232","52615","329623","11.09  ","3446","115","1519","1149","2607","171522"
"636　砺波店","30日","3314306","3022190","39156","252960","8.46  ","1905","32","761","1586","3971","151680"
"639　大島店","30日","3579762","3264996","45062","269704","9.14  ","2803","93","1138","1165","2869","166393"
"063　ミラドラ","26日","2907579","2655158","51135","201286","7.43  ","2992","58","631","887","4208","12233"
"566　五位田店","24日","2696637","2458225","29284","209128","6.88  ","1534","64","334","1602","7360","166004"
"559　菅谷店","24日","490087","446266","2752","41069","1.25  ","482","20","211","926","2115","2338"
"236ミラドラ山口あさか店","26日","77916","70966","578","6372","0.20  ","17","0","8","4174","8871","213"