﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"佐世保本店","","17","エアコン","0020","ジャパネット","0000319","三菱","0017","エアコン","0172","エアコン（～１０畳）","4902901935527","MSZ-LT2822-W-IN 10畳用 ｴｱｺﾝ","0","","1","70,200.00","131,636","1","131,636","61,436","46.67","94.18","100.00","14.12"
"","","17","エアコン","","","","","0017","エアコン","0178","保険料（エアコン）","2087801028011","保険料(ｴｱｺﾝ) ｸﾛﾈｺ","10","","2","4,536.00","4,536","1","4,536","0","0.00","3.25","100.00","0.49"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001052","Jｴｱｺﾝ M工事費 配送料","10","","3","3,600.00","3,600","1","3,600","0","0.00","2.58","100.00","0.39"
"大塔店","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0175","エアコン（１９畳～）","4573535135951","AN63ZRP-W 20畳ｴｱｺﾝ","0","","1","180,960.00","290,728","1","290,728","109,768","37.76","36.68","57.67","54.07"
"","","17","エアコン","0020","ジャパネット","0000355","日立","0017","エアコン","0175","エアコン（１９畳～）","4549873152219","RAS-GT71M2(W) ｴｱｺﾝ 23畳用","0","","2","123,760.00","213,388","1","213,388","89,628","42.00","26.92","42.33","54.07"
"","","17","エアコン","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0017","エアコン","0173","エアコン（～１４畳）","4974019218045","AY-P40TD 14畳ｴｱｺﾝ","0","","3","61,880.00","99,819","1","99,819","37,939","38.01","12.59","100.00","10.71"
"","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0172","エアコン（～１０畳）","4573535167761","AN28ZES 10畳 ｴｱｺﾝ","0","","4","56,368.00","99,819","1","99,819","43,451","43.53","12.59","100.00","10.71"
"","","17","エアコン","0020","ジャパネット","0000319","三菱","0017","エアコン","0170","エアコン（～６畳）","4902901881015","MSZ-AH2220-W 6畳ｴｱｺﾝ","10","","5","43,212.00","77,091","1","77,091","33,879","43.95","9.73","100.00","8.27"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001052","Jｴｱｺﾝ M工事費 配送料","10","","6","3,600.00","3,600","2","7,200","0","0.00","0.91","61.54","1.25"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001038","Jｴｱｺﾝ M取外し料金","10","","7","4,500.00","4,500","1","4,500","0","0.00","0.57","38.46","1.25"