ìXï‹ñº,éûä‘ë—,ê≈çûîÑè„ã‡äz,ê≈î≤îÑè„ã‡äz,è¡îÔê≈,ëeóòã‡äz,ëeóòó¶,îÉè„ì_êî,àÍì_íPâø,ï‘ïiã‡äz,ï‘ïiì_êî,ó›åvîÑè„ã‡äz,ó›åvëeóòã‡äz
"ëÂò@ìX","00:00 ~ 08:59","1,603","1,474","129","250","15.60","6","24,566.67","0","0","1,603","250"
"","09:00 ~ 09:59","1,092,928","921,444","171,484","206,519","18.90","3,015","30,561.99","-6,955","-9","1,094,531","206,769"
"","10:00 ~ 10:59","1,415,779","1,182,731","233,048","272,233","19.23","3,682","32,121.97","-4,894","-12","2,510,310","479,002"
"","11:00 ~ 11:59","1,557,936","1,274,910","283,026","304,972","19.58","4,116","30,974.49","-11,252","-44","4,068,246","783,974"
"","12:00 ~ 12:59","1,460,668","1,222,900","237,768","241,755","16.55","3,907","31,300.23","-2,414","-4","5,528,914","1,025,729"
"","13:00 ~ 13:59","1,233,590","1,030,203","203,387","235,154","19.06","3,426","30,070.14","-5,068","-16","6,762,504","1,260,883"
"","14:00 ~ 14:59","1,073,155","909,092","164,063","213,984","19.94","3,076","29,554.36","-7,562","-27","7,835,659","1,474,867"
"","15:00 ~ 15:59","1,069,522","879,393","190,129","207,455","19.40","2,953","29,779.65","-1,204","-2","8,905,181","1,682,322"
"","16:00 ~ 16:59","1,257,990","1,039,892","218,098","258,422","20.54","3,249","32,006.53","-10,646","-13","10,163,171","1,940,744"
"","17:00 ~ 17:59","1,533,646","1,285,188","248,458","298,740","19.48","4,290","29,957.76","-11,370","-40","11,696,817","2,239,484"
"","18:00 ~ 18:59","1,424,155","1,201,968","222,187","270,505","18.99","4,333","27,739.86","-3,440","-5","13,120,972","2,509,989"
"","19:00 ~ 19:59","1,002,296","860,807","141,489","190,542","19.01","3,397","25,340.21","-46,272","-32","14,123,268","2,700,531"
"","20:00 ~ 20:59","876,774","746,510","130,264","173,926","19.84","2,734","27,304.68","-2,854","-6","15,000,042","2,874,457"
"","21:00 ~ 21:59","647,684","562,296","85,388","128,368","19.82","2,308","24,362.91","-8,682","-12","15,647,726","3,002,825"
"","22:00 ~ 22:59","447,005","384,727","62,278","75,043","16.79","1,530","25,145.56","-3,154","-22","16,094,731","3,077,868"
"ê[ç]ìÏìX","00:00 ~ 08:59","2,022","1,870","152","278","13.75","18","10,388.89","0","0","2,022","278"
"","09:00 ~ 09:59","734,398","626,951","107,447","137,997","18.79","2,019","31,052.55","-6,132","-19","736,420","138,275"
"","10:00 ~ 10:59","975,590","368,707","606,883","181,147","18.57","2,951","12,494.31","0","0","1,712,010","319,422"
"","11:00 ~ 11:59","1,018,340","852,492","165,848","190,724","18.73","3,134","27,201.40","-960","-4","2,730,350","510,146"
"","12:00 ~ 12:59","961,590","803,990","157,600","173,497","18.04","3,047","26,386.28","-24,702","-18","3,691,940","683,643"
"","13:00 ~ 13:59","888,009","747,408","140,601","175,676","19.78","2,851","26,215.64","-28,742","-46","4,579,949","859,319"
"","14:00 ~ 14:59","862,854","724,875","137,979","159,784","18.52","2,879","25,178.01","-318","-2","5,442,803","1,019,103"
"","15:00 ~ 15:59","1,012,267","862,952","149,315","177,092","17.49","3,561","24,233.42","-2,148","-16","6,455,070","1,196,195"
"","16:00 ~ 16:59","1,182,874","1,008,271","174,603","215,394","18.21","3,835","26,291.29","-49,978","-55","7,637,944","1,411,589"
"","17:00 ~ 17:59","1,644,502","1,418,601","225,901","298,331","18.14","5,035","28,174.80","-38,072","-40","9,282,446","1,709,920"
"","18:00 ~ 18:59","1,499,127","1,284,531","214,596","280,908","18.74","5,051","25,431.22","-10,624","-18","10,781,573","1,990,828"
"","19:00 ~ 19:59","995,674","850,860","144,814","195,835","19.67","3,451","24,655.46","-12,076","-28","11,777,247","2,186,663"
"","20:00 ~ 20:59","826,293","715,994","110,299","166,917","20.20","2,691","26,606.99","-4,716","-8","12,603,540","2,353,580"
"","21:00 ~ 21:59","515,598","464,155","51,443","100,909","19.57","1,837","25,267.01","-15,046","-50","13,119,138","2,454,489"
"","22:00 ~ 22:59","14,954","14,943","11","4,414","29.52","45","33,206.67","0","0","13,134,092","2,458,903"
