仕入日,店舗,仕入先コード,仕入先,伝票番号,商品コード,商品,区分,仕入数量,仕入単価,仕入金額,伝票金額,伝票消費税額,合計金額
"2022/09/01","大塔店","0010","ソニー","755865","4548736123939","KJ-55X85J 4K液晶ﾃﾚﾋﾞ","仕入","2","94,388.00","188,776","188,776","18,877","207,653"
"2022/09/02","佐々店","0010","ソニー","7466460","2087801028493","部品･交換ﾊﾟｰﾂ","仕入","1","1,840.00","1,840","1,840","184","2,024"
"","","","","7466470","2087801028493","部品･交換ﾊﾟｰﾂ","仕入","1","552.00","552","552","55","607"
"","佐世保本店","0010","ソニー","756429","4548736129771","LSPX-S3 ｸﾞﾗｽｻｳﾝﾄﾞｽﾋﾟｰｶｰ","仕入","1","30,400.00","30,400","30,400","3,040","33,440"
"","大塔店","0010","ソニー","756139","4548736129696","SRS-NS7 ﾈｯｸｽﾋﾟｰｶｰ","仕入","3","21,904.00","65,712","151,612","15,161","166,773"
"","","","","","4548736136021","KJ-43X80K 液晶ﾃﾚﾋﾞ","仕入","1","85,900.00","85,900","","",""
"2022/09/03","佐世保本店","0010","ソニー","756343","4905524972535","DSC-W830 SC ﾃﾞｼﾞﾀﾙｶﾒ","仕入","1","12,657.00","12,657","12,657","1,265","13,922"
"2022/09/05","大塔店","0010","ソニー","756702","4548736123892","XRJ-55A80J 有機ELﾃﾚﾋﾞ","仕入","2","160,308.00","320,616","320,616","32,061","352,677"
"2022/09/06","佐々店","0010","ソニー","756824","4548736067622","RM-PZ130D B ﾘﾓｺﾝ","仕入","1","1,806.00","1,806","3,482","348","3,830"
"","","","","","4905524894455","RM-PZ110D B ﾘｺﾓﾝ","仕入","1","1,676.00","1,676","","",""
"","佐世保本店","0010","ソニー","641659","2087801027786","ｿﾆｰ(修理)","仕入","1","7,650.00","7,650","7,650","765","8,415"
"","","","","756934","4548736122185","BDZ-ZW1800 ﾌﾞﾙｰﾚｲ","仕入","1","34,960.00","34,960","76,912","7,691","84,603"
"","","","","","4548736122192","BDZ-ZW2800 ﾌﾞﾙｰﾚｲ","仕入","1","41,952.00","41,952","","",""
"2022/09/07","大塔店","0010","ソニー","756983","4548736136021","KJ-43X80K 液晶ﾃﾚﾋﾞ","仕入","1","85,900.00","85,900","85,900","8,590","94,490"
"2022/09/08","佐世保本店","0010","ソニー","757045","4905524994414","BDP-S1500 BDﾌﾟﾚｰﾔｰ","仕入","1","8,390.00","8,390","8,390","839","9,229"
"","大塔店","0010","ソニー","20220908","4548736013452","BDP-S6700 BDﾌﾟﾚｰﾔｰ","返品","-1","16,780.00","-16,780","-16,780","-1,678","-18,458"
"","","","","757212","4548736123922","KJ-65X85J 4K液晶ﾃﾚﾋﾞ","仕入","1","124,352.00","124,352","124,352","12,435","136,787"
"2022/09/09","大塔店","0010","ソニー","757593","4548736129771","LSPX-S3 ｸﾞﾗｽｻｳﾝﾄﾞｽﾋﾟｰｶｰ","仕入","1","30,400.00","30,400","30,400","3,040","33,440"
"2022/09/10","佐々店","0010","ソニー","757558","4905524886658","USM16GT LT USBﾒﾓﾘｰ","仕入","1","1,931.00","1,931","5,793","579","6,372"
"","","","","","4905524886689","USM16GT PT USBﾒﾓﾘｰ","仕入","1","1,931.00","1,931","","",""
"","","","","","4905524886757","USM16GT ST USBﾒﾓﾘｰ","仕入","1","1,931.00","1,931","","",""
"","大塔店","0010","ソニー","757358","4548736123939","KJ-55X85J 4K液晶ﾃﾚﾋﾞ","仕入","2","90,392.00","180,784","180,784","18,078","198,862"
"2022/09/13","佐世保本店","0010","ソニー","1090","2087801028493","部品･交換ﾊﾟｰﾂ","仕入","1","4,720.00","4,720","4,720","472","5,192"
"2022/09/14","佐世保本店","0010","ソニー","758402","4548736129771","LSPX-S3 ｸﾞﾗｽｻｳﾝﾄﾞｽﾋﾟｰｶｰ","仕入","1","30,400.00","30,400","30,400","3,040","33,440"
