日付,店舗名,内訳,税込売上金額,税抜売上金額,消費税8%,消費税,粗利金額,粗利率,客数,買上点数,客単価,1客買上点数,平均単価
"2022/09/20","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","14,190","12,900","0","1,290","2,550","19.77","1","3","12,900","3.00","4,300.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","42,870","38,976","0","3,894","20,803","53.37","5","10","7,795","2.00","3,897.60"
"","","累計","331,070","300,984","0","30,086","170,306","56.58","18","37","16,721","2.06","8,134.70"
"","","前年","1,895,598","1,723,337","0","172,261","486,407","28.22","144","319","11,968","2.22","5,402.31"
"","","前年比","17","17","0","17","35","200.47","13","12","1","0.93","1.51"
"","佐々店","当日","118,987","108,175","0","10,812","43,711","40.41","14","750","7,727","53.57","144.23"
"","","累計","5,840,628","5,309,760","0","530,868","1,740,728","32.78","306","4,307","17,352","14.08","1,232.82"
"","","前年","5,182,566","4,711,655","407","470,504","1,583,392","33.61","404","5,183","11,663","12.83","909.06"
"","","前年比","113","113","0","113","110","97.55","76","83","1","1.10","1.36"
"","佐世保本店","当日","234,240","212,949","0","21,291","81,000","38.04","10","64","21,295","6.40","3,327.33"
"","","累計","4,637,061","4,215,916","1,480","419,665","1,539,729","36.52","243","3,699","17,349","15.22","1,139.74"
"","","前年","2,215,411","2,023,987","0","191,424","773,685","38.23","218","1,643","9,284","7.54","1,231.88"
"","","前年比","209","208","0","219","199","95.54","111","225","2","2.02","0.93"
"","大塔店","当日","168,420","153,111","0","15,309","50,490","32.98","9","19","17,012","2.11","8,058.47"
"","","累計","9,723,661","8,840,125","1,634","881,902","3,146,935","35.60","208","511","42,501","2.46","17,299.66"
"","","前年","9,646,239","8,769,392","0","876,847","3,052,213","34.81","275","1,694","31,889","6.16","5,176.74"
"","","前年比","101","101","0","101","103","102.28","76","30","1","0.40","3.34"
"2022/09/21","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","331,070","300,984","0","30,086","170,306","56.58","18","37","16,721","2.06","8,134.70"
"","","前年","2,300,188","2,091,160","0","209,028","672,821","32.17","173","382","12,088","2.21","5,474.24"
"","","前年比","14","14","0","14","25","175.86","10","10","1","0.93","1.49"
"","佐々店","当日","190,227","172,940","0","17,287","67,031","38.76","19","296","9,102","15.58","584.26"
"","","累計","6,030,855","5,482,700","0","548,155","1,807,759","32.97","325","4,603","16,870","14.16","1,191.11"
"","","前年","5,244,025","4,767,535","407","476,083","1,612,147","33.82","421","5,338","11,324","12.68","893.13"
"","","前年比","115","115","0","115","112","97.51","77","86","1","1.12","1.33"
"","佐世保本店","当日","41,176","37,436","0","3,740","18,386","49.11","12","77","3,120","6.42","486.18"
"","","累計","4,678,237","4,253,352","1,480","423,405","1,558,115","36.63","255","3,776","16,680","14.81","1,126.42"
"","","前年","2,354,461","2,150,400","0","204,061","823,968","38.32","232","1,749","9,269","7.54","1,229.50"
"","","前年比","199","198","0","207","189","95.60","110","216","2","1.96","0.92"
"","大塔店","当日","393,530","357,761","0","35,769","158,416","44.28","16","22","22,360","1.38","16,261.86"
"","","累計","10,117,191","9,197,886","1,634","917,671","3,305,351","35.94","224","533","41,062","2.38","17,256.82"
"","","前年","10,510,159","9,554,778","0","955,381","3,278,510","34.31","290","1,722","32,948","5.94","5,548.65"
"","","前年比","96","96","0","96","101","104.73","77","31","1","0.40","3.11"
"2022/09/22","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","14,190","12,900","0","1,290","2,550","19.77","1","3","12,900","3.00","4,300.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","331,070","300,984","0","30,086","170,306","56.58","18","37","16,721","2.06","8,134.70"
"","","前年","2,566,540","2,333,306","0","233,234","715,109","30.65","186","409","12,545","2.20","5,704.90"
"","","前年比","13","13","0","13","24","184.62","10","9","1","0.93","1.43"
"","佐々店","当日","515,955","469,057","0","46,898","124,893","26.63","18","337","26,059","18.72","1,391.86"
"","","累計","6,546,810","5,951,757","0","595,053","1,932,652","32.47","343","4,940","17,352","14.40","1,204.81"
"","","前年","5,646,028","5,132,999","407","512,622","1,759,091","34.27","438","5,846","11,719","13.35","878.04"
"","","前年比","116","116","0","116","110","94.75","78","85","1","1.08","1.37"
"","佐世保本店","当日","119,578","108,714","0","10,864","33,653","30.96","15","100","7,248","6.67","1,087.14"
"","","累計","4,797,815","4,362,066","1,480","434,269","1,591,768","36.49","270","3,876","16,156","14.36","1,125.40"
"","","前年","2,467,482","2,253,152","0","214,330","860,316","38.18","246","1,870","9,159","7.60","1,204.89"
"","","前年比","194","194","0","203","185","95.57","110","207","2","1.89","0.93"
"","大塔店","当日","436,790","397,089","0","39,701","128,518","32.37","16","116","24,818","7.25","3,423.18"
"","","累計","10,553,981","9,594,975","1,634","957,372","3,433,869","35.79","240","649","39,979","2.70","14,784.24"
"","","前年","10,581,455","9,619,596","0","961,859","3,315,154","34.46","302","1,996","31,853","6.61","4,819.44"
"","","前年比","100","100","0","100","104","103.85","79","33","1","0.41","3.07"
"2022/09/23","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","14,190","12,900","0","1,290","2,550","19.77","1","3","12,900","3.00","4,300.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","331,070","300,984","0","30,086","170,306","56.58","18","37","16,721","2.06","8,134.70"
"","","前年","2,566,540","2,333,306","0","233,234","715,109","30.65","186","409","12,545","2.20","5,704.90"
"","","前年比","13","13","0","13","24","184.62","10","9","1","0.93","1.43"
"","佐々店","当日","785,538","714,138","0","71,400","219,958","30.80","31","207","23,037","6.68","3,449.94"
"","","累計","7,332,348","6,665,895","0","666,453","2,152,610","32.29","374","5,147","17,823","13.76","1,295.10"
"","","前年","6,030,651","5,482,667","407","547,577","1,888,527","34.45","465","6,094","11,791","13.11","899.68"
"","","前年比","122","122","0","122","114","93.75","80","84","2","1.05","1.44"
"","佐世保本店","当日","221,076","200,980","0","20,096","53,193","26.47","12","27","16,748","2.25","7,443.70"
"","","累計","5,018,891","4,563,046","1,480","454,365","1,644,961","36.05","282","3,903","16,181","13.84","1,169.11"
"","","前年","2,812,069","2,566,570","659","244,840","960,215","37.41","261","2,093","9,834","8.02","1,226.26"
"","","前年比","178","178","225","186","171","96.36","108","186","2","1.73","0.95"
"","大塔店","当日","900,370","818,524","0","81,846","253,674","30.99","21","71","38,977","3.38","11,528.51"
"","","累計","11,454,351","10,413,499","1,634","1,039,218","3,687,543","35.41","261","720","39,898","2.76","14,463.19"
