移動日,移動元店舗,移動先店舗,商品コード,商品名,商品容量,数量,単価,金額,入力形能,入庫確定
"2022/10/03","630　しみず倉庫","パスコ店","4510759790016","ドーバーパストリ－ゼ７７ヘッド付 500ml","５００ｍｌ","2","695","1,390","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4515748001760","イーシーエヴォリューション150ｇ","１５０ｇ","2","2,716","5,432","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4523905006886","ミズ９９％オハダウルオウオシリフキ","","2","180","360","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4530896201367","ヘアスプレ－ス－パ－ハ－ド２００ｇ","２００ｇ","5","197","985","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4571310341061","ウィルスバリアノヴァ　ゲルタイプ　 300 ｇ","３００ｇ","2","1,595","3,190","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4571310341115","ウィルスバリアノヴァ液体消臭ミスト 300ML","３００ｍｌ","2","1,760","3,520","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4901080726513","部分入れ歯用ポリデント　108錠+6錠","１０８錠　＋","5","595","2,975","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4902094123770","スカルプ薬用育毛トニック　１８０ｇ","１８０ｇ","2","299","598","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4902989372917","かき醤油味付のり　角 54 枚","５４枚","12","200","2,400","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4955273406034","プラセンタ　オールインワンジェル　８０ｇ","８０ｇ","2","720","1,440","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4901080703415","新ポリグリップ無添加　７５ｇ","７５ｇ","10","678","6,780","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4901080703316","新ポリグリップ無添加　４０ｇ","４０ｇ","3","406","1,218","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4955273806056","イオナ　エフ　モイストクリーム","５４ｇ","1","1,900","1,900","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250147110","セキセチン　咳止め１００ｍｌ","１００ｍｌ","2","354","708","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250170118","ワクナガ胃腸薬Ｌ　９０錠","９０錠","2","574","1,148","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250199119","エナックＷ　１２６錠","１２６錠","2","927","1,854","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250199317","エナックＷ　５４０錠","５４０錠","1","3,433","3,433","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250271112","レオピンファイブＮＥＯ　６０ｍｌ","６０ｍｌ","6","3,132","18,792","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250305114","キヨーレオピンネオｗ　60ml","６０ｍｌ","6","1,723","10,338","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250305213","キヨーレオピンネオｗ　120ml","１２０ｍｌ","2","3,158","6,316","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250305312","キヨーレオピンネオｗ　240ml","２４０ｍｌ","2","5,570","11,140","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250358110","湧永田七　分包　６０包","６０包","1","2,773","2,773","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250820112","湧永　八味地黄丸４５０丸","４５０丸","1","1,019","1,019","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250820211","湧永　八味地黄丸９００丸","９００丸","1","1,833","1,833","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250843111","フジパイゾールＳ錠　９０錠","９０錠","1","902","902","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250849113","セキセチン３２錠","３２錠","2","438","876","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250858115","プレビジョン　ビルベリー＆ＤＨＡ　１２０粒","１２０粒","6","1,692","10,152","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250868114","プレビジョン　ウリラックス　１２０粒","１２０粒","1","1,859","1,859","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4968250904119","フジビトールＳ錠　 150 錠","１５０錠","1","1,274","1,274","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4970511099373","ＡＪＤエースバン　半透明Ｍ１００枚","１００枚","2","248","496","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4970511100130","ＡＪＤ　ウオノメバン　Ｓ","２０枚","1","282","282","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4970883012468","防水ワンタッチパッドＭ５枚","","2","196","392","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4971159015626","奥田製薬バブルデント入れ歯除菌洗浄剤　１２６錠","１２６錠","5","322","1,610","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4974580350021","流せるおしりふき　大人用　７０枚","７０枚","10","140","1,400","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4978022301602","マルフク　トイレ強力除菌　　　洗浄剤　５００ ML","５００ｍｌ","5","95","475","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987014013607","新バイトゴールド２０００　１００ｍｌ","１００ｍｌ","100","39","3,900","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987014016509","バイトゴールド３０００　　100ml","１００ｍｌ","500","37","18,500","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987084418425","サンテアスティ　１５ｍｌ","１５ｍｌ","2","297","594","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987084418470","サンテアスティクール（新）　１２ｍｌ","１２ｍｌ","1","286","286","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987103046943","ドルマイコーチ軟膏　６ｇ","６ｇ","3","255","765","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987300048900","ラカルトメディキュア－　１００ｇ","１００ｇ","5","891","4,455","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987306009646","大正漢方胃腸薬　２０包","２０包","1","798","798","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987306045149","パブロンゴールドＡ＜微粒＞２８包","２８包","2","935","1,870","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987306045903","パブロン鼻炎カプセルＳα　４８ｃｐ","４８ｃｐ","1","1,100","1,100","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987306045965","パブロンエースＰＲＯ錠　３６錠","３６錠","2","1,089","2,178","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987306046009","パブロンエースＰＲＯ微粒　１２包","１２包","2","1,089","2,178","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987307240642","エバージェルＶ軟膏","２５ｇ","1","299","299","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987307240871","エバージェル V □注入軟膏２０ G","２０ｇ","2","391","782","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987316017013","新トニン咳止め液　６０ｍｌ","６０ｍｌ","2","517","1,034","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987475119368","ロキエフェクトＬＸテープ　 14 枚","１４枚","1","218","218","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987487102723","タカミツクールリフェンダ　６枚","６枚","30","70","2,100","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987533012419","アスミンＭ顆粒１８Ｈ","１８Ｈ","5","396","1,980","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987537632538","ｐ－ｃＨＥｃｋ．Ｓ妊娠検査薬１回用","１回用","1","188","188","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987537632545","ｐ－ｃＨＥｃｋ．ｓ妊娠検査薬２回用","２回用","1","286","286","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4987433120054","プラセントップ液３０ｍｌ","３０ｍｌ","120","310","37,200","ハンディー",""
"2022/10/03","630　しみず倉庫","パスコ店","4970511099403","エースバン　Ｓサイズ　５０枚","５０枚","0","95","0","画面作成",""
"2022/10/03","630　しみず倉庫","プラファ店","4582368480169","スクアレン（箱入） １０シート","１０シ－ト","2","1,846","3,692","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4968250132116","（ワクナガ）タミナスＡ錠　３６０錠","３６０錠","1","559","559","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4968250164315","ワクナガ胃腸薬Ｇ　６００錠","６００錠","1","861","861","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4968250260130","レオピンロイヤル　２４０ｍｌ","２４０ｍｌ","1","15,347","15,347","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4968250271112","レオピンファイブＮＥＯ　６０ｍｌ","６０ｍｌ","3","3,132","9,396","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","２４０ｍｌ","1","10,127","10,127","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4968250854124","プレビジョングリーン末　９０包","９０包","6","1,401","8,406","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4968250878113","オプターナ黄粋目薬　１５ｍｌ","１５ｍｌ","3","350","1,050","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4970511099373","ＡＪＤエースバン　半透明Ｍ１００枚","１００枚","2","248","496","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4970511201370","かぜ・花粉マスク　ふつう　６０枚","６０枚","6","370","2,220","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4970511910586","ママは看護師さん　ガーゼ１０ｍ×３０ｃｍ","１０ｍ×３０","2","290","580","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4971159015886","パラ防虫剤　８００ｇ","８００ｇ","4","341","1,364","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4975687011389","ペインサール顆粒 ３０包","３０包","3","725","2,175","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4978022208550","ソフターブルーエコパック","２０００ｍｌ","2","155","310","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987014013607","新バイトゴールド２０００　１００ｍｌ","１００ｍｌ","150","39","5,850","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987014016509","バイトゴールド３０００　　100ml","１００ｍｌ","500","37","18,500","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987084418425","サンテアスティ　１５ｍｌ","１５ｍｌ","3","297","891","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987103048459","ヘパリーゼドリンクⅡ 50 ｍｌ× 3","","2","504","1,008","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987103049364","コンドロイチンＺＳ３１０錠","３１０錠","4","4,300","17,200","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987306021242","コーラック　６０錠","６０ジョウ","1","637","637","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987426110000","ムヒＳ　１８ｇ","１８ｇ","5","308","1,540","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987433120054","プラセントップ液３０ｍｌ","３０ｍｌ","40","310","12,400","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987475118712","パステル FR テープ V α","42 枚","3","605","1,815","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987475119375","ロキエフェクトＬＸテープ大判　 7 枚","7 枚","1","218","218","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987487102723","タカミツクールリフェンダ　６枚","６枚","20","70","1,400","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987487102754","リフェンダＩＤ　０．５％６枚","６枚","30","80","2,400","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4515748001708","エミューゼリー筋肉（シークワーサー）３０包","３０Ｈ","1","3,436","3,436","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4987123144292","アリナミンＶ＆ＶＮＥＷ　５０ｍｌ×２本","２本","2","595","1,190","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4968250300119","宝脚　３００錠","３００錠","2","2,530","5,060","ハンディー",""
"2022/10/03","630　しみず倉庫","プラファ店","4968250293312","レオピンロイヤルキャプレット　２００錠","２００錠","0","8,717","0","画面作成",""
"2022/10/03","630　しみず倉庫","大島店","4968250843111","フジパイゾールＳ錠　９０錠","９０錠","3","902","2,706","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4510759890013","ドーパーパストリーゼ　 5L","５Ｌ","1","2,900","2,900","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4515748001760","イーシーエヴォリューション150ｇ","１５０ｇ","4","2,716","10,864","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4515748001784","プレミアム１０　８５ｇ","８５","2","2,030","4,060","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4589506150380","ノンアルコール除菌ウエット３Ｐ","６０　枚","2","196","392","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4954097910000","ファイトマンゼリー　エネルギー　１８０ｇ","１８０ｇ","3","65","195","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4954097910086","ファイトマンゼリーアミノ酸１８０ｇ","１８０ｇ","4","65","260","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4968250177216","トコベール３００Ｅ　２６０ｃｐ","２６０ｃｐ","1","2,897","2,897","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4968250260116","レオピンロイヤル　６０ｍｌ","６０ｍｌ","3","4,823","14,469","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4968250293312","レオピンロイヤルキャプレット　２００錠","２００錠","1","8,717","8,717","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4968250858115","プレビジョン　ビルベリー＆ＤＨＡ　１２０粒","１２０粒","6","1,692","10,152","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4968250870117","プレビジョン　バイタルウレア　１２０粒","１２０粒","1","1,795","1,795","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4978022208550","ソフターブルーエコパック","２０００ｍｌ","2","155","310","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4987074300556","メディストロクリーム","20 ｇ","2","200","400","ハンディー",""
"2022/10/03","630　しみず倉庫","大島店","4987103040651","新レシカルボン坐剤Ｓ　１０個","１０個","1","390","390","ハンディー",""
